oversold,overbought,min_sep,nacidos,completas,wr,ev,p,n,exp,report,p_adj_fdr,p_adj_bonf
20,80,1,13635,1524,0.523,-0.5555,0.0771120889144743,1524,EXP-041,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-041\summary.md,0.38556,1.0
20,80,2,13635,1524,0.523,-0.5555,0.0771120889144743,1524,EXP-042,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-042\summary.md,0.38556,1.0
20,80,3,13635,1524,0.523,-0.5555,0.0771120889144743,1524,EXP-043,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-043\summary.md,0.38556,1.0
20,80,4,13635,1524,0.523,-0.5555,0.0771120889144743,1524,EXP-044,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-044\summary.md,0.38556,1.0
25,75,1,13635,2175,0.5122,-0.5646,0.2648472490402087,2175,EXP-045,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-045\summary.md,0.38556,1.0
25,75,2,13635,2175,0.5122,-0.5646,0.2648472490402087,2175,EXP-046,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-046\summary.md,0.38556,1.0
25,75,3,13635,2175,0.5122,-0.5646,0.2648472490402087,2175,EXP-047,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-047\summary.md,0.38556,1.0
25,75,4,13635,2175,0.5122,-0.5646,0.2648472490402087,2175,EXP-048,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-048\summary.md,0.38556,1.0
30,70,1,13635,2861,0.5124,-0.5645,0.19062780159170511,2861,EXP-049,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-049\summary.md,0.38556,1.0
30,70,2,13635,2861,0.5124,-0.5645,0.19062780159170511,2861,EXP-050,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-050\summary.md,0.38556,1.0
30,70,3,13635,2861,0.5124,-0.5645,0.19062780159170511,2861,EXP-051,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-051\summary.md,0.38556,1.0
30,70,4,13635,2861,0.5124,-0.5645,0.19062780159170511,2861,EXP-052,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-052\summary.md,0.38556,1.0
35,65,1,13635,3665,0.4993,-0.5756,0.9473210221301449,3665,EXP-053,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-053\summary.md,0.38556,1.0
35,65,2,13635,3665,0.4993,-0.5756,0.9473210221301449,3665,EXP-054,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-054\summary.md,0.38556,1.0
35,65,3,13635,3665,0.4993,-0.5756,0.9473210221301449,3665,EXP-055,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-055\summary.md,0.38556,1.0
35,65,4,13635,3665,0.4993,-0.5756,0.9473210221301449,3665,EXP-056,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-056\summary.md,0.38556,1.0
40,60,1,13635,5360,0.4959,-0.5785,0.5569825946824619,5360,EXP-057,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-057\summary.md,0.38556,1.0
40,60,2,13635,5360,0.4959,-0.5785,0.5569825946824619,5360,EXP-058,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-058\summary.md,0.38556,1.0
40,60,3,13635,5360,0.4959,-0.5785,0.5569825946824619,5360,EXP-059,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-059\summary.md,0.38556,1.0
40,60,4,13635,5360,0.4959,-0.5785,0.5569825946824619,5360,EXP-060,C:\Users\v_jac\Desktop\QUOTEX\reports\EXP-060\summary.md,0.38556,1.0
