duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
33,20.0,1.0,2,11,4,,,1.932
15,9.0,1.0,2,5,1,15.63,4.95,-4.772
19,,2.0,2,3,0,15.97,4.23,3.946
45,2.0,2.0,2,9,5,16.44,5.59,-1.672
33,4.0,2.0,2,5,4,16.82,6.47,2.397
12,6.0,1.0,12,1,2,14.06,5.8,-6.078
28,5.0,2.0,2,9,3,18.11,4.5,2.574
71,17.0,7.0,2,15,9,16.82,4.99,-0.957
56,11.0,2.0,2,13,9,19.71,5.52,1.303
31,14.0,1.0,31,7,4,11.32,4.41,-2.214
31,5.0,3.0,2,7,4,14.41,4.6,2.31
37,3.0,1.0,9,5,6,16.93,4.84,-1.681
11,,5.0,2,1,0,20.79,7.22,6.354
34,23.0,2.0,2,5,3,8.37,2.76,-2.209
66,12.0,1.0,10,13,7,16.69,5.09,0.941
72,1.0,6.0,2,15,12,20.16,4.8,-0.945
21,5.0,3.0,2,5,4,18.62,6.01,3.276
60,17.0,3.0,2,13,6,12.09,4.51,-1.162
26,15.0,2.0,2,3,3,11.07,5.55,2.618
34,,5.0,2,5,0,13.65,3.31,-1.866
36,1.0,1.0,36,7,4,21.11,5.4,1.99
51,15.0,1.0,2,11,6,16.89,5.24,-1.482
18,6.0,1.0,18,3,3,15.56,5.81,3.938
22,3.0,1.0,2,5,3,18.09,4.51,-3.416
51,4.0,1.0,8,7,7,14.49,3.79,1.246
16,5.0,2.0,2,3,3,11.61,5.57,-4.361
9,3.0,1.0,9,1,2,15.27,7.27,7.513
14,,4.0,2,1,0,20.08,5.46,-5.04
18,2.0,2.0,2,5,3,12.11,4.61,-3.652
47,15.0,3.0,2,9,4,14.71,5.04,1.396
44,27.0,4.0,2,9,6,17.88,3.65,-1.449
66,4.0,2.0,5,13,9,13.51,4.61,0.991
69,6.0,3.0,2,17,16,16.8,5.85,-0.997
12,1.0,1.0,2,3,3,17.64,6.78,6.253
13,,2.0,2,1,0,10.84,5.65,-5.796
11,10.0,2.0,2,1,1,11.02,6.36,6.448
7,,1.0,7,1,0,14.32,9.4,-9.857
65,1.0,4.0,2,11,10,23.67,5.24,1.089
