state,label,n,favorable_rate,p_value,p_adj_fdr
17,OB.flat.flat,4804,0.2968,2.114272810270407e-179,0.0
35,HI.flat.flat,2553,0.2949,5.347313311928655e-98,0.0
29,HI.up.flat,11371,0.2899,0.0,0.0
14,OB.dn.flat,6771,0.2887,4.191736164327921e-273,0.0
41,MID.dn.flat,10191,0.2859,0.0,0.0
44,MID.flat.flat,1809,0.2847,3.612473631090049e-77,0.0
11,OB.up.flat,9881,0.2836,0.0,0.0
38,MID.up.flat,10361,0.2829,0.0,0.0
26,LO.flat.flat,2500,0.2828,6.801956438414412e-108,0.0
2,OS.up.flat,6222,0.2811,4.19755198938808e-270,0.0
8,OS.flat.flat,4528,0.2796,7.073819911042295e-200,0.0
5,OS.dn.flat,9086,0.2789,0.0,0.0
32,HI.dn.flat,11454,0.2762,0.0,0.0
20,LO.up.flat,11392,0.2758,0.0,0.0
23,LO.dn.flat,11310,0.2751,0.0,0.0
