from_state,from_label,to_state,to_label,count,prob
2,OS.up.flat,2,OS.up.flat,2801,0.45018
2,OS.up.flat,5,OS.dn.flat,236,0.03793
2,OS.up.flat,8,OS.flat.flat,702,0.11283
2,OS.up.flat,20,LO.up.flat,2460,0.39537
2,OS.up.flat,26,LO.flat.flat,20,0.00321
2,OS.up.flat,38,MID.up.flat,3,0.00048
5,OS.dn.flat,2,OS.up.flat,1554,0.17103
5,OS.dn.flat,5,OS.dn.flat,4861,0.535
5,OS.dn.flat,8,OS.flat.flat,2232,0.24565
5,OS.dn.flat,20,LO.up.flat,425,0.04678
5,OS.dn.flat,26,LO.flat.flat,14,0.00154
8,OS.flat.flat,2,OS.up.flat,1867,0.41223
8,OS.flat.flat,5,OS.dn.flat,750,0.1656
8,OS.flat.flat,8,OS.flat.flat,1551,0.34246
8,OS.flat.flat,20,LO.up.flat,354,0.07816
8,OS.flat.flat,26,LO.flat.flat,7,0.00155
11,OB.up.flat,11,OB.up.flat,5364,0.54286
11,OB.up.flat,14,OB.dn.flat,1678,0.16982
11,OB.up.flat,17,OB.flat.flat,2375,0.24036
11,OB.up.flat,32,HI.dn.flat,447,0.04524
11,OB.up.flat,35,HI.flat.flat,17,0.00172
14,OB.dn.flat,11,OB.up.flat,269,0.03973
14,OB.dn.flat,14,OB.dn.flat,3117,0.46035
14,OB.dn.flat,17,OB.flat.flat,807,0.11918
14,OB.dn.flat,32,HI.dn.flat,2550,0.37661
14,OB.dn.flat,35,HI.flat.flat,27,0.00399
14,OB.dn.flat,41,MID.dn.flat,1,0.00015
17,OB.flat.flat,11,OB.up.flat,829,0.17256
17,OB.flat.flat,14,OB.dn.flat,1976,0.41132
17,OB.flat.flat,17,OB.flat.flat,1570,0.32681
17,OB.flat.flat,32,HI.dn.flat,420,0.08743
17,OB.flat.flat,35,HI.flat.flat,9,0.00187
20,LO.up.flat,5,OS.dn.flat,90,0.0079
20,LO.up.flat,8,OS.flat.flat,9,0.00079
20,LO.up.flat,20,LO.up.flat,5853,0.51369
20,LO.up.flat,23,LO.dn.flat,756,0.06635
20,LO.up.flat,26,LO.flat.flat,967,0.08487
20,LO.up.flat,29,HI.up.flat,36,0.00316
20,LO.up.flat,38,MID.up.flat,3672,0.32227
20,LO.up.flat,44,MID.flat.flat,11,0.00097
23,LO.dn.flat,5,OS.dn.flat,2967,0.26233
23,LO.dn.flat,8,OS.flat.flat,25,0.00221
23,LO.dn.flat,20,LO.up.flat,1379,0.12193
23,LO.dn.flat,23,LO.dn.flat,5656,0.50009
23,LO.dn.flat,26,LO.flat.flat,1014,0.08966
23,LO.dn.flat,38,MID.up.flat,262,0.02317
23,LO.dn.flat,44,MID.flat.flat,7,0.00062
