idx,ts,level,eff,touch_count,bounce_count,direction,K,D,kd_sep,sticky,clean4,clean8,next_retrace
30,1781378580,1.13271,0.745,5,5,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13259,0.745,5,5,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13266,0.745,5,5,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13254,0.782,6,6,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13251,0.782,6,6,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13255,0.745,5,5,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13237,0.818,7,7,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13223,0.818,7,7,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
30,1781378580,1.13264,0.745,5,5,PUT,29.626074072849402,18.667354354978766,10.958719717870636,0,0,0,1
31,1781379480,1.13255,0.462,4,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
31,1781379480,1.13237,0.462,4,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
31,1781379480,1.13251,0.543,3,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
31,1781379480,1.13254,0.543,3,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
31,1781379480,1.13264,0.462,4,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
31,1781379480,1.13259,0.462,4,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
31,1781379480,1.13266,0.462,4,2,CALL,59.978548395911865,34.31846712560503,25.660081270306833,0,0,0,0
33,1781381280,1.13601,0.855,8,7,PUT,87.44221976255365,77.55296954132753,9.88925022122612,1,0,0,1
33,1781381280,1.13602,0.891,9,8,PUT,87.44221976255365,77.55296954132753,9.88925022122612,1,0,0,1
33,1781381280,1.13603,0.891,9,8,PUT,87.44221976255365,77.55296954132753,9.88925022122612,1,0,0,1
34,1781382180,1.13264,0.535,6,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13251,0.639,4,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13223,0.569,5,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13237,0.569,5,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13255,0.535,6,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13271,0.622,7,4,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13259,0.535,6,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13266,0.535,6,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
34,1781382180,1.13254,0.569,5,3,CALL,68.50245747190051,80.39427256665708,11.891815094756566,0,1,1,0
35,1781383080,1.13259,0.77,6,5,PUT,56.185845488924635,70.71017424112627,14.524328752201633,0,0,0,0
