asset,band_pips,poc_pct,wr_inside,wr_outside,delta_wr,pct_kept
AUDUSD,0,0.00,0.537,0.538,-0.001,0.934
AUDUSD,5,63.16,0.536,0.543,-0.007,0.855
AUDUSD,10,62.07,0.535,0.544,-0.008,0.847
AUDUSD,15,63.16,0.535,0.546,-0.011,0.861
AUDUSD,20,80.00,0.536,0.541,-0.005,0.874
AUDUSD,25,83.33,0.536,0.541,-0.005,0.918
AUDUSD,30,80.00,0.537,0.538,-0.002,0.897
AUDUSD,35,77.78,0.536,0.541,-0.005,0.873
AUDUSD,40,75.00,0.536,0.543,-0.008,0.851
AUDUSD,45,71.43,0.535,0.545,-0.010,0.828
AUDUSD,50,66.67,0.535,0.542,-0.007,0.806
AUDUSD,55,66.67,0.535,0.542,-0.007,0.806
AUDUSD,60,60.00,0.536,0.539,-0.002,0.759
AUDUSD,65,60.00,0.536,0.539,-0.002,0.759
AUDUSD,70,60.00,0.536,0.539,-0.002,0.759
AUDUSD,75,0.00,0.455,0.537,-0.082,0.000
AUDUSD,80,0.00,0.455,0.537,-0.082,0.000
AUDUSD,85,0.00,0.455,0.537,-0.082,0.000
AUDUSD,90,0.00,0.455,0.537,-0.082,0.000
AUDUSD,95,0.00,0.519,0.537,-0.018,0.001
AUDUSD,100,0.00,0.519,0.537,-0.018,0.001
EURUSD,0,0.00,0.532,0.541,-0.009,0.631
EURUSD,5,51.67,0.531,0.556,-0.025,0.833
EURUSD,10,53.33,0.532,0.555,-0.024,0.839
EURUSD,15,50.00,0.532,0.551,-0.019,0.800
EURUSD,20,33.33,0.533,0.538,-0.005,0.471
EURUSD,25,50.00,0.532,0.549,-0.017,0.786
EURUSD,30,35.00,0.530,0.542,-0.012,0.533
EURUSD,35,33.33,0.534,0.536,-0.002,0.455
EURUSD,40,13.33,0.545,0.533,0.011,0.188
EURUSD,45,14.29,0.543,0.534,0.009,0.171
EURUSD,50,41.67,0.529,0.549,-0.020,0.675
EURUSD,55,27.27,0.529,0.540,-0.011,0.388
EURUSD,60,30.00,0.526,0.544,-0.018,0.489
EURUSD,65,30.00,0.526,0.544,-0.018,0.489
EURUSD,70,33.33,0.531,0.540,-0.008,0.497
EURUSD,75,50.00,0.533,0.543,-0.011,0.734
EURUSD,80,50.00,0.533,0.543,-0.011,0.734
EURUSD,85,50.00,0.533,0.543,-0.011,0.734
EURUSD,90,14.29,0.541,0.535,0.007,0.125
EURUSD,95,14.29,0.541,0.535,0.007,0.125
EURUSD,100,33.33,0.528,0.545,-0.017,0.535
GBPUSD,0,0.00,0.540,0.547,-0.008,0.735
GBPUSD,5,38.78,0.540,0.547,-0.008,0.726
GBPUSD,10,24.00,0.540,0.543,-0.003,0.551
GBPUSD,15,35.29,0.541,0.543,-0.003,0.635
GBPUSD,20,69.23,0.542,0.541,0.001,0.630
GBPUSD,25,70.00,0.543,0.540,0.003,0.699
GBPUSD,30,66.67,0.541,0.543,-0.002,0.601
GBPUSD,35,57.14,0.543,0.540,0.003,0.437
GBPUSD,40,57.14,0.543,0.540,0.003,0.437
GBPUSD,45,66.67,0.542,0.540,0.002,0.690
GBPUSD,50,60.00,0.539,0.545,-0.005,0.534
GBPUSD,55,60.00,0.539,0.545,-0.005,0.534
GBPUSD,60,60.00,0.539,0.545,-0.005,0.534
GBPUSD,65,50.00,0.544,0.540,0.004,0.398
GBPUSD,70,50.00,0.544,0.540,0.004,0.398
GBPUSD,75,50.00,0.544,0.540,0.004,0.398
GBPUSD,80,50.00,0.544,0.540,0.004,0.398
GBPUSD,85,0.00,0.548,0.542,0.007,0.002
GBPUSD,90,0.00,0.548,0.542,0.007,0.002
GBPUSD,95,0.00,0.548,0.542,0.007,0.002
GBPUSD,100,0.00,0.548,0.542,0.007,0.002
NZDUSD,0,0.00,0.526,0.531,-0.006,0.734
NZDUSD,5,40.74,0.525,0.532,-0.006,0.732
NZDUSD,10,35.71,0.525,0.531,-0.007,0.640
NZDUSD,15,44.44,0.527,0.527,0.001,0.629
NZDUSD,20,28.57,0.532,0.525,0.007,0.351
NZDUSD,25,33.33,0.529,0.525,0.004,0.451
NZDUSD,30,0.00,0.629,0.527,0.102,0.002
NZDUSD,35,0.00,0.553,0.527,0.027,0.005
NZDUSD,40,0.00,0.553,0.527,0.027,0.005
NZDUSD,45,0.00,0.590,0.527,0.063,0.006
