asset,poi,n_bands,touches,rebounds,breaks,neutros,rate_rebound,rate_break,timing_n,timing_median,timing_pct_le1,timing_pct_le3,timing_pct_le5,fuerte_n,fuerte_rate,debil_n,debil_rate,overshoot_fuerte,overshoot_debil,flip_breaks,flip_retests,flip_flips,flip_rate
AUDUSD,swing,6854.000,3268.000,1212.000,268.000,1788.000,0.371,0.082,3249.000,0.000,0.738,0.873,0.931,893.000,0.415,2375.000,0.354,2.143,0.574,268.000,223.000,114.000,0.425
AUDUSD,vol_a,1.000,416.000,157.000,0.000,259.000,0.377,0.000,416.000,0.000,0.757,0.906,0.962,132.000,0.447,284.000,0.345,0.000,0.000,0.000,0.000,0.000,nan
AUDUSD,vol_b,1.000,307.000,100.000,0.000,207.000,0.326,0.000,307.000,0.000,0.658,0.827,0.919,81.000,0.494,226.000,0.265,0.000,0.000,0.000,0.000,0.000,nan
EURUSD,swing,13760.000,5512.000,2557.000,876.000,2079.000,0.464,0.159,5512.000,0.000,0.800,0.931,0.972,1877.000,0.533,3635.000,0.428,2.685,1.741,876.000,727.000,401.000,0.458
EURUSD,vol_a,1.000,504.000,230.000,0.000,274.000,0.456,0.000,502.000,0.000,0.795,0.932,0.964,157.000,0.510,347.000,0.432,0.000,0.000,0.000,0.000,0.000,nan
EURUSD,vol_b,1.000,382.000,178.000,0.000,204.000,0.466,0.000,382.000,0.000,0.796,0.921,0.958,123.000,0.545,259.000,0.429,0.000,0.000,0.000,0.000,0.000,nan
GBPUSD,swing,7660.000,3849.000,1642.000,506.000,1701.000,0.427,0.131,3849.000,0.000,0.759,0.900,0.958,791.000,0.546,3058.000,0.396,2.156,1.209,506.000,415.000,199.000,0.393
GBPUSD,vol_a,1.000,755.000,363.000,0.000,392.000,0.481,0.000,755.000,0.000,0.803,0.938,0.979,241.000,0.589,514.000,0.430,0.000,0.000,0.000,0.000,0.000,nan
GBPUSD,vol_b,1.000,260.000,112.000,0.000,148.000,0.431,0.000,260.000,0.000,0.854,0.942,0.962,86.000,0.512,174.000,0.391,0.000,0.000,0.000,0.000,0.000,nan
NZDUSD,swing,5349.000,2722.000,783.000,105.000,1834.000,0.288,0.039,2692.000,0.000,0.681,0.823,0.897,565.000,0.331,2157.000,0.276,0.658,0.185,105.000,89.000,25.000,0.238
NZDUSD,vol_a,1.000,552.000,186.000,0.000,366.000,0.337,0.000,552.000,0.000,0.705,0.846,0.908,177.000,0.390,375.000,0.312,0.000,0.000,0.000,0.000,0.000,nan
NZDUSD,vol_b,1.000,435.000,157.000,0.000,278.000,0.361,0.000,435.000,0.000,0.703,0.848,0.917,125.000,0.472,310.000,0.316,0.000,0.000,0.000,0.000,0.000,nan
USDCAD,swing,6613.000,3182.000,1160.000,242.000,1780.000,0.365,0.076,3169.000,0.000,0.719,0.868,0.934,733.000,0.457,2449.000,0.337,2.784,0.418,242.000,201.000,93.000,0.384
USDCAD,vol_a,1.000,273.000,114.000,0.000,159.000,0.418,0.000,273.000,0.000,0.799,0.923,0.971,101.000,0.455,172.000,0.395,0.000,0.000,0.000,0.000,0.000,nan
USDCAD,vol_b,1.000,284.000,137.000,0.000,147.000,0.482,0.000,284.000,0.000,0.845,0.947,0.975,124.000,0.565,160.000,0.419,0.000,0.000,0.000,0.000,0.000,nan
USDCHF,swing,7495.000,3646.000,1549.000,398.000,1699.000,0.425,0.109,3624.000,0.000,0.733,0.876,0.942,1257.000,0.499,2389.000,0.386,1.820,0.692,398.000,325.000,184.000,0.462
USDCHF,vol_a,1.000,507.000,148.000,0.000,359.000,0.292,0.000,503.000,0.000,0.696,0.843,0.918,108.000,0.398,399.000,0.263,0.000,0.000,0.000,0.000,0.000,nan
USDCHF,vol_b,1.000,270.000,88.000,0.000,182.000,0.326,0.000,270.000,0.000,0.685,0.837,0.900,61.000,0.426,209.000,0.297,0.000,0.000,0.000,0.000,0.000,nan
USDJPY,swing,9397.000,4007.000,2064.000,1012.000,931.000,0.515,0.253,4007.000,0.000,0.906,0.985,0.998,1127.000,0.567,2880.000,0.495,9.254,4.831,1012.000,828.000,498.000,0.492
USDJPY,vol_a,1.000,304.000,171.000,0.000,133.000,0.562,0.000,304.000,0.000,0.928,0.990,1.000,77.000,0.688,227.000,0.520,0.000,0.000,0.000,0.000,0.000,nan
USDJPY,vol_b,1.000,242.000,109.000,0.000,133.000,0.450,0.000,242.000,0.000,0.934,0.988,1.000,61.000,0.475,181.000,0.442,0.000,0.000,0.000,0.000,0.000,nan
