variant,body_n_threshold,brake_ratio_threshold,events_total,train,test,verdict,criteria_passed,criteria_failed,win_rate,ev,pf,p_value,power,robustness,failed_criteria,warnings,report
1,0.5,1.2,19019,9509,9510,FAIL,3,4,0.5572848204427152,0.11456964088543035,1.258788598574822,0.0,0.0,1/5,"power_min: power < 0.8; profit_factor_min: 1.26 < 1.3; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_01\EXP-010-VARIANT-01_report.md
2,0.8,1.2,14870,7435,7435,FAIL,3,4,0.5554808338937458,0.1109616677874916,1.2496217851739788,0.0,0.0,1/5,"power_min: power < 0.8; profit_factor_min: 1.25 < 1.3; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_02\EXP-010-VARIANT-02_report.md
3,1.0,1.2,10972,5486,5486,FAIL,3,4,0.5586037185563252,0.11720743711265039,1.2655378897377658,0.0,0.0,1/5,"power_min: power < 0.8; profit_factor_min: 1.27 < 1.3; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_03\EXP-010-VARIANT-03_report.md
4,1.2,1.2,7399,3699,3700,FAIL,3,4,0.564670901473172,0.1293418029463441,1.2971126979199006,1.2551973807566999e-249,0.0,1/5,"power_min: power < 0.8; profit_factor_min: 1.30 < 1.3; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_04\EXP-010-VARIANT-04_report.md
5,1.5,1.2,3933,1966,1967,FAIL,4,3,0.5748792270531401,0.1497584541062802,1.3522727272727273,8.497560102264538e-148,0.0,1/5,"power_min: power < 0.8; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_05\EXP-010-VARIANT-05_report.md
6,0.8,1.5,11485,5742,5743,FAIL,3,4,0.560992599042229,0.12198519808445799,1.277865926219754,0.0,0.0,1/5,"power_min: power < 0.8; profit_factor_min: 1.28 < 1.3; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_06\EXP-010-VARIANT-06_report.md
7,1.0,1.5,9501,4750,4751,FAIL,3,4,0.5632038732764972,0.12640774655299442,1.2893975903614459,3.358306496e-315,0.0,1/5,"power_min: power < 0.8; profit_factor_min: 1.29 < 1.3; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_07\EXP-010-VARIANT-07_report.md
8,1.2,1.5,7047,3523,3524,FAIL,4,3,0.5676174258549738,0.1352348517099475,1.3127666557269446,5.101870457942208e-245,0.0,1/5,"power_min: power < 0.8; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_08\EXP-010-VARIANT-08_report.md
9,1.5,1.5,3922,1961,1961,FAIL,4,3,0.5752167261601224,0.15043345232024477,1.3541416566626652,7.511395989990919e-148,0.0,1/5,"power_min: power < 0.8; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_09\EXP-010-VARIANT-09_report.md
10,2.0,2.0,1370,685,685,FAIL,4,3,0.5934306569343065,0.18686131386861313,1.459605026929982,2.6630502333632486e-62,0.0,1/5,"power_min: power < 0.8; robustness: 1/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_010_batch\variant_10\EXP-010-VARIANT-10_report.md
