asset,brake_idx,cross_idx,direction,original_win,original_separation,max_separation_reachable,reached_2,wait_cycles_2,win_wait_2,confirm_idx_wait_2,entry_idx_wait_2,actionable_2,winrate_actionable_2,reached_3,wait_cycles_3,win_wait_3,confirm_idx_wait_3,entry_idx_wait_3,actionable_3,winrate_actionable_3,reached_4,wait_cycles_4,win_wait_4,confirm_idx_wait_4,entry_idx_wait_4,actionable_4,winrate_actionable_4,reached_5,wait_cycles_5,win_wait_5,confirm_idx_wait_5,entry_idx_wait_5,actionable_5,winrate_actionable_5,reached_6,wait_cycles_6,win_wait_6,confirm_idx_wait_6,entry_idx_wait_6,actionable_6,winrate_actionable_6
AUDUSD,179,203,CALL,0,5.691894793342769,7.883699169217962,1,0,0,205,206,1,0.0,1,0,0,205,206,1,0.0,1,0.0,0.0,-1,-1,0,,1,0.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,
AUDUSD,1354,1365,CALL,0,2.260951674449102,5.912907350400417,1,0,0,1366,1367,1,0.0,1,1,0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,0,,,-1,-1,0,
AUDUSD,1360,1365,CALL,0,2.260951674449102,5.912907350400417,1,0,0,1366,1367,1,0.0,1,1,0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,0,,,-1,-1,0,
AUDUSD,1439,1453,PUT,1,3.8393742479733817,13.331357389428831,1,0,1,1455,1456,1,1.0,1,0,1,1455,1456,1,1.0,1,1.0,1.0,1455,1456,1,1.0,1,1.0,1.0,1455,1456,1,1.0,1,1.0,1.0,1455,1456,1,1.0
AUDUSD,3177,3196,PUT,0,3.2599513247473624,14.17178307697872,1,0,0,3201,3202,1,0.0,1,0,0,3201,3202,1,0.0,1,1.0,0.0,3201,3202,1,0.0,1,1.0,0.0,3201,3202,1,0.0,1,1.0,0.0,3201,3202,1,0.0
AUDUSD,3187,3196,PUT,0,3.2599513247473624,14.17178307697872,1,0,0,3201,3202,1,0.0,1,0,0,3201,3202,1,0.0,1,1.0,0.0,3201,3202,1,0.0,1,1.0,0.0,3201,3202,1,0.0,1,1.0,0.0,3201,3202,1,0.0
AUDUSD,3277,3303,PUT,1,3.746481262789701,13.115443477974353,1,0,1,3306,3307,1,1.0,1,0,1,3306,3307,1,1.0,1,1.0,1.0,3306,3307,1,1.0,1,1.0,1.0,3306,3307,1,1.0,1,4.0,0.0,-1,-1,0,
AUDUSD,3300,3303,PUT,1,3.746481262789701,13.115443477974353,1,0,1,3306,3307,1,1.0,1,0,1,3306,3307,1,1.0,1,1.0,1.0,3306,3307,1,1.0,1,1.0,1.0,3306,3307,1,1.0,1,4.0,0.0,-1,-1,0,
AUDUSD,4205,4216,PUT,0,2.604350382128061,12.91219887412371,1,0,0,4217,4218,1,0.0,1,1,0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,
AUDUSD,4212,4216,PUT,0,2.604350382128061,12.91219887412371,1,0,0,4217,4218,1,0.0,1,1,0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,
AUDUSD,5507,5540,CALL,1,6.714966559508738,15.000304200189241,1,0,1,5542,5543,1,1.0,1,0,0,-1,-1,0,,1,0.0,0.0,-1,-1,0,,1,0.0,0.0,-1,-1,0,,1,0.0,0.0,-1,-1,0,
AUDUSD,5917,5952,PUT,1,5.200864935806536,17.64764255168911,1,0,1,5956,5957,1,1.0,1,0,1,5956,5957,1,1.0,1,0.0,1.0,5956,5957,1,1.0,1,0.0,0.0,-1,-1,0,,1,1.0,0.0,-1,-1,0,
AUDUSD,6067,6103,PUT,1,2.5403369328427488,15.801649628317247,1,0,1,6108,6109,1,1.0,1,1,1,6108,6109,1,1.0,1,1.0,1.0,6108,6109,1,1.0,1,2.0,1.0,6108,6109,1,1.0,1,4.0,1.0,6108,6109,1,1.0
AUDUSD,6072,6103,PUT,1,2.5403369328427488,15.801649628317247,1,0,1,6108,6109,1,1.0,1,1,1,6108,6109,1,1.0,1,1.0,1.0,6108,6109,1,1.0,1,2.0,1.0,6108,6109,1,1.0,1,4.0,1.0,6108,6109,1,1.0
AUDUSD,6153,6166,CALL,0,2.930782198852789,14.332513484598,1,0,0,6169,6170,1,0.0,1,1,0,6169,6170,1,0.0,1,1.0,0.0,6169,6170,1,0.0,1,1.0,0.0,6169,6170,1,0.0,1,1.0,0.0,6169,6170,1,0.0
AUDUSD,6165,6166,CALL,0,2.930782198852789,14.332513484598,1,0,0,6169,6170,1,0.0,1,1,0,6169,6170,1,0.0,1,1.0,0.0,6169,6170,1,0.0,1,1.0,0.0,6169,6170,1,0.0,1,1.0,0.0,6169,6170,1,0.0
AUDUSD,7544,7557,CALL,0,2.159240701429922,3.1586083926432043,1,0,0,7558,7559,1,0.0,1,4,0,-1,-1,0,,0,,,-1,-1,0,,0,,,-1,-1,0,,0,,,-1,-1,0,
AUDUSD,9131,9134,CALL,0,2.677434144525911,9.995846036706645,1,0,0,9135,9136,1,0.0,1,1,0,-1,-1,0,,1,5.0,0.0,-1,-1,0,,1,18.0,0.0,-1,-1,0,,1,18.0,0.0,-1,-1,0,
AUDUSD,9461,9487,CALL,0,2.695125756171109,8.805415388046725,1,0,0,9491,9492,1,0.0,1,1,0,9491,9492,1,0.0,1,3.0,0.0,9491,9492,1,0.0,1,4.0,0.0,9492,9493,1,0.0,1,4.0,0.0,9492,9493,1,0.0
AUDUSD,11462,11493,PUT,0,3.255196622674589,4.876307711218601,1,0,0,11495,11496,1,0.0,1,0,0,11495,11496,1,0.0,1,1.0,0.0,-1,-1,0,,0,,,-1,-1,0,,0,,,-1,-1,0,
