time,open,high,low,close,ticks
1786193520,0.56129,0.56157,0.56121,0.56133,84
1786193580,0.56136,0.56155,0.56121,0.56125,79
1786193640,0.56124,0.56132,0.56114,0.56118,90
1786193700,0.5612,0.56131,0.56083,0.56087,87
1786193760,0.56091,0.56101,0.56066,0.56068,81
1786193820,0.56067,0.56098,0.56063,0.56082,82
1786193880,0.56083,0.56096,0.56076,0.56082,81
1786193940,0.56082,0.56095,0.56059,0.56062,79
1786194000,0.56062,0.56086,0.56055,0.56075,78
1786194060,0.56075,0.561,0.56074,0.56087,90
1786194120,0.56087,0.56087,0.56053,0.56075,77
1786194180,0.56075,0.56089,0.56049,0.56083,79
1786194240,0.56083,0.56092,0.56076,0.56088,86
1786194300,0.56087,0.56103,0.56083,0.56098,77
1786194360,0.56097,0.56137,0.56097,0.56124,84
1786194420,0.56127,0.56146,0.56111,0.56144,73
1786194480,0.56144,0.56157,0.56136,0.56141,76
1786194540,0.56141,0.56143,0.5609,0.56092,80
1786194600,0.56093,0.56101,0.56079,0.56097,80
1786194660,0.56097,0.56105,0.56077,0.56082,73
1786194720,0.56083,0.56091,0.5604,0.56052,82
1786194780,0.56053,0.56056,0.56028,0.56043,83
1786194840,0.56042,0.56043,0.56003,0.56024,83
1786194900,0.5602,0.56056,0.56001,0.56051,80
1786194960,0.56052,0.56074,0.56039,0.56074,84
1786195020,0.56074,0.56076,0.56039,0.56055,77
1786195080,0.56055,0.56057,0.56025,0.56035,82
1786195140,0.56035,0.56048,0.5603,0.56039,78
1786195200,0.56039,0.5607,0.56033,0.56068,77
1786195260,0.56068,0.56083,0.56056,0.56058,76
1786195320,0.56057,0.56069,0.56045,0.56046,78
1786195380,0.56046,0.56053,0.56024,0.56046,75
1786195440,0.56046,0.56065,0.55992,0.55997,81
1786195500,0.55995,0.56004,0.55984,0.55984,83
1786195560,0.55986,0.5603,0.55979,0.5603,78
1786195620,0.56032,0.56045,0.55975,0.55976,82
1786195680,0.55976,0.55976,0.55908,0.55908,85
1786195740,0.55894,0.55931,0.55892,0.559,81
1786195800,0.559,0.55911,0.55875,0.55884,89
1786195860,0.55883,0.55886,0.55866,0.55879,83
1786195920,0.5588,0.55913,0.55871,0.55912,87
1786195980,0.55912,0.55918,0.55893,0.55917,83
1786196040,0.55917,0.55946,0.55917,0.55935,76
1786196100,0.55935,0.5594,0.55887,0.55891,83
1786196160,0.55891,0.55906,0.55864,0.55871,78
1786196220,0.55871,0.55883,0.55824,0.55832,76
1786196280,0.55832,0.55844,0.55798,0.55798,84
1786196340,0.55798,0.55811,0.55782,0.55807,88
1786196400,0.55807,0.55852,0.55805,0.5585,79
1786196460,0.55847,0.55859,0.55827,0.55838,71
1786196520,0.55825,0.5583,0.55808,0.55821,77
1786196580,0.55821,0.5584,0.55812,0.55834,82
1786196640,0.55834,0.55869,0.55817,0.55868,83
1786196700,0.55868,0.55894,0.55868,0.55875,76
1786196760,0.55878,0.55892,0.55859,0.55889,77
1786196820,0.55889,0.55923,0.55889,0.55923,87
1786196880,0.55923,0.55941,0.55906,0.5594,73
1786196940,0.55941,0.55941,0.55908,0.55911,83
1786197000,0.55918,0.55925,0.55881,0.55886,84
1786197060,0.55886,0.55894,0.55856,0.55858,79
1786197120,0.55858,0.55879,0.55849,0.55876,87
1786197180,0.55876,0.55884,0.5586,0.55875,91
1786197240,0.55875,0.55896,0.55874,0.55887,79
1786197300,0.55887,0.55908,0.55857,0.55907,79
1786197360,0.55907,0.55922,0.559,0.55922,67
1786197420,0.55922,0.5595,0.55922,0.55931,90
1786197480,0.55931,0.5596,0.55929,0.5595,79
1786197540,0.5595,0.55968,0.55917,0.55922,78
1786197600,0.55922,0.55955,0.55922,0.55924,67
1786197660,0.55924,0.55959,0.55921,0.55951,77
1786197720,0.55951,0.55957,0.55926,0.55928,87
1786197780,0.55927,0.55968,0.55927,0.55944,87
1786197840,0.55942,0.55953,0.5591,0.55929,80
1786197900,0.55929,0.55946,0.55913,0.55914,67
1786197960,0.55913,0.55923,0.55889,0.55902,81
1786198020,0.55905,0.5593,0.55891,0.55892,87
1786198080,0.55892,0.5592,0.55889,0.55917,79
1786198140,0.55909,0.55954,0.55896,0.55952,84
1786198200,0.55952,0.55952,0.55924,0.55928,70
1786198260,0.5593,0.55935,0.55898,0.55898,87
1786198320,0.55898,0.55918,0.55894,0.55907,74
1786198380,0.55907,0.55909,0.55848,0.55867,86
1786198440,0.55867,0.55882,0.55862,0.55882,76
1786198500,0.55882,0.55892,0.55869,0.55871,77
1786198560,0.55871,0.55881,0.55851,0.55879,83
1786198620,0.55877,0.55885,0.55864,0.55867,79
1786198680,0.55863,0.55877,0.55854,0.55854,82
1786198740,0.55854,0.55854,0.55826,0.55828,75
1786198800,0.55836,0.55872,0.55836,0.55857,82
1786198860,0.55857,0.55882,0.55857,0.55863,67
1786198920,0.55863,0.55919,0.55859,0.55919,76
1786198980,0.55919,0.55937,0.55912,0.55927,74
1786199040,0.55924,0.55956,0.55916,0.5592,77
1786199100,0.55923,0.55933,0.55912,0.55929,83
1786199160,0.5593,0.5593,0.55887,0.5589,80
1786199220,0.5589,0.55907,0.55875,0.55883,85
1786199280,0.55883,0.55893,0.55862,0.55869,81
1786199340,0.55866,0.55872,0.55826,0.55828,80
1786199400,0.55825,0.55887,0.55822,0.55887,86
1786199460,0.55887,0.55889,0.55854,0.55857,78
1786199520,0.55857,0.55858,0.55819,0.55831,87
1786199580,0.55831,0.55831,0.55781,0.55794,83
1786199640,0.55794,0.55797,0.55754,0.55754,75
1786199700,0.55755,0.55755,0.55732,0.55749,80
1786199760,0.55747,0.55747,0.55706,0.55726,85
1786199820,0.55728,0.5576,0.55711,0.55755,66
1786199880,0.55753,0.55754,0.55727,0.5573,77
1786199940,0.5573,0.55735,0.55709,0.5572,85
1786200000,0.55725,0.55781,0.55725,0.55775,81
