time,open,high,low,close,ticks
1786194900,111.426,111.523,111.295,111.514,1205
1786195800,111.514,111.81,111.456,111.755,1172
1786196700,111.753,112.034,111.673,111.995,1186
1786197600,111.995,111.995,111.476,111.689,1192
1786198500,111.689,111.773,111.431,111.727,1163
1786199400,111.727,111.774,111.526,111.774,1174
1786200300,111.774,111.789,111.461,111.461,1191
1786201200,111.468,111.541,111.277,111.454,1188
1786202100,111.454,111.592,111.418,111.431,1238
1786203000,111.428,111.472,111.344,111.407,1171
1786203900,111.407,111.63,111.353,111.537,1199
1786204800,111.54,111.717,111.482,111.583,1194
1786205700,111.578,111.587,111.322,111.338,1208
1786206600,111.338,111.525,111.255,111.458,1199
1786207500,111.458,111.523,111.306,111.484,1197
1786208400,111.484,111.567,111.305,111.331,1185
1786209300,111.328,111.334,111.148,111.208,1212
1786210200,111.21,111.347,111.189,111.263,1167
1786211100,111.266,111.306,111.079,111.232,1200
1786212000,111.232,111.468,111.221,111.392,1171
1786212900,111.392,111.424,111.217,111.242,1235
1786213800,111.242,111.375,111.189,111.193,1173
1786214700,111.193,111.291,110.966,111.139,1230
1786215600,111.139,111.178,111.005,111.151,1186
1786216500,111.154,111.286,111.089,111.259,1171
1786217400,111.254,111.282,110.811,110.831,1214
1786218300,110.831,110.88,110.699,110.702,1170
1786219200,110.702,110.811,110.51,110.582,1175
1786220100,110.582,110.59,110.139,110.185,1224
1786221000,110.185,110.307,110.061,110.228,1225
1786221900,110.225,110.33,110.069,110.146,1212
1786222800,110.148,110.188,109.915,110.06,1197
1786223700,110.06,110.206,110.02,110.144,1204
1786224600,110.144,110.251,110.032,110.144,1193
1786225500,110.144,110.144,109.999,110.023,1197
1786226400,110.019,110.149,109.954,110.061,1181
1786227300,110.061,110.201,110.015,110.065,1213
1786228200,110.065,110.122,109.734,109.858,1176
1786229100,109.858,110.003,109.797,109.931,1220
1786230000,109.934,110.168,109.898,110.063,1203
1786230900,110.063,110.151,109.981,110.02,1200
1786231800,110.023,110.104,109.952,109.963,1175
1786232700,109.979,110.039,109.862,109.998,1198
1786233600,109.998,110.061,109.877,109.954,1176
1786234500,109.954,109.99,109.837,109.925,1188
1786235400,109.93,109.959,109.826,109.938,1196
1786236300,109.938,109.997,109.737,109.779,1222
1786237200,109.779,109.796,109.596,109.639,1214
1786238100,109.639,109.725,109.424,109.459,1235
1786239000,109.459,109.613,109.361,109.53,1178
1786239900,109.527,109.719,109.457,109.704,1206
1786240800,109.704,109.843,109.677,109.819,1176
1786241700,109.819,110.182,109.786,110.132,1165
1786242600,110.136,110.224,109.978,110.128,1206
1786243500,110.128,110.341,110.121,110.208,1199
1786244400,110.21,110.368,110.153,110.279,1228
1786245300,110.289,110.29,110.078,110.122,1185
1786246200,110.122,110.132,109.83,109.988,1159
1786247100,109.986,110.14,109.86,110.037,1172
1786248000,110.037,110.105,109.872,110.026,1206
1786248900,110.023,110.454,109.958,110.453,1189
1786249800,110.45,110.548,110.237,110.309,1185
1786250700,110.309,110.327,110.164,110.285,1220
1786251600,110.285,110.336,110.184,110.274,1242
1786252500,110.276,110.477,110.268,110.455,1203
1786253400,110.45,110.599,110.357,110.575,1212
1786254300,110.575,110.624,110.337,110.346,1205
1786255200,110.346,110.363,110.063,110.173,1197
1786256100,110.166,110.21,109.994,110.057,1231
1786257000,110.057,110.074,109.811,109.821,1237
1786257900,109.821,110.034,109.805,109.827,1197
1786258800,109.827,109.959,109.596,109.604,1180
1786259700,109.604,109.616,109.281,109.312,1218
1786260600,109.312,109.514,109.27,109.459,1200
1786261500,109.459,109.555,109.267,109.298,1204
