time,open,high,low,close,ticks
1786193820,0.9506,0.9508,0.9493,0.9502,86
1786193880,0.9502,0.9502,0.9482,0.9493,81
1786193940,0.9494,0.9514,0.9489,0.9514,81
1786194000,0.9514,0.9517,0.9482,0.9496,86
1786194060,0.9496,0.9503,0.9488,0.9489,80
1786194120,0.9489,0.9499,0.948,0.9482,78
1786194180,0.9482,0.9482,0.9462,0.9468,80
1786194240,0.9468,0.9476,0.9457,0.9465,77
1786194300,0.9466,0.9497,0.9456,0.9495,83
1786194360,0.9495,0.9498,0.948,0.948,77
1786194420,0.948,0.9495,0.9472,0.9495,76
1786194480,0.9495,0.9496,0.9476,0.9484,79
1786194540,0.9485,0.949,0.9477,0.9484,80
1786194600,0.9484,0.9488,0.9464,0.9464,69
1786194660,0.9464,0.9467,0.9432,0.9446,88
1786194720,0.9445,0.9445,0.9417,0.9422,76
1786194780,0.9422,0.944,0.9412,0.9439,77
1786194840,0.9439,0.9457,0.9431,0.9453,78
1786194900,0.9452,0.9452,0.943,0.9435,76
1786194960,0.9435,0.9448,0.9434,0.9442,79
1786195020,0.9442,0.9442,0.9423,0.9426,88
1786195080,0.9426,0.9444,0.9424,0.9429,76
1786195140,0.9429,0.9462,0.9425,0.9461,72
1786195200,0.9461,0.9478,0.9457,0.9469,83
1786195260,0.9469,0.9486,0.9464,0.9479,84
1786195320,0.9479,0.9484,0.9456,0.947,78
1786195380,0.947,0.9504,0.947,0.9504,83
1786195440,0.9503,0.9503,0.9483,0.9489,79
1786195500,0.9488,0.9492,0.9469,0.9472,79
1786195560,0.9471,0.9473,0.9457,0.9464,77
1786195620,0.9464,0.9473,0.945,0.9472,80
1786195680,0.9473,0.9487,0.9469,0.9478,79
1786195740,0.9483,0.9483,0.9449,0.9449,86
1786195800,0.9448,0.9448,0.9419,0.9444,87
1786195860,0.9443,0.9469,0.9441,0.9461,88
1786195920,0.946,0.9473,0.9458,0.9458,75
1786195980,0.9458,0.9459,0.9427,0.9433,80
1786196040,0.9433,0.9454,0.9424,0.943,92
1786196100,0.943,0.9437,0.942,0.9425,77
1786196160,0.9425,0.9431,0.9412,0.942,77
1786196220,0.942,0.9422,0.9408,0.9412,82
1786196280,0.9412,0.9414,0.9398,0.9408,69
1786196340,0.9407,0.9412,0.9393,0.9397,74
1786196400,0.9398,0.9407,0.9391,0.9396,73
1786196460,0.9398,0.941,0.9382,0.941,84
1786196520,0.941,0.9411,0.9381,0.9398,84
1786196580,0.9398,0.9409,0.9394,0.94,78
1786196640,0.9399,0.9423,0.9388,0.942,93
1786196700,0.942,0.9435,0.9419,0.9427,83
1786196760,0.9427,0.9435,0.9416,0.9433,77
1786196820,0.9433,0.9445,0.943,0.9435,84
1786196880,0.9436,0.9436,0.9421,0.9426,80
1786196940,0.942,0.9432,0.9415,0.9425,82
1786197000,0.9424,0.9441,0.9414,0.9441,70
1786197060,0.9441,0.9445,0.9433,0.9441,74
1786197120,0.9441,0.9447,0.9431,0.9437,74
1786197180,0.9437,0.9437,0.9397,0.9406,79
1786197240,0.9406,0.9407,0.9383,0.94,71
1786197300,0.94,0.9401,0.9382,0.9387,80
1786197360,0.9386,0.9397,0.9382,0.9394,69
1786197420,0.9394,0.94,0.9373,0.9396,80
1786197480,0.9396,0.9435,0.9382,0.9431,86
1786197540,0.9431,0.9445,0.9425,0.9445,79
1786197600,0.9445,0.9463,0.9439,0.9439,77
1786197660,0.9439,0.9451,0.9435,0.9438,80
1786197720,0.9435,0.9455,0.9435,0.9447,84
1786197780,0.9446,0.9456,0.9438,0.9453,85
1786197840,0.9454,0.9468,0.9452,0.9454,79
1786197900,0.9454,0.9466,0.9454,0.9462,86
1786197960,0.9463,0.9463,0.9431,0.9435,71
1786198020,0.9435,0.9443,0.9426,0.9443,74
1786198080,0.9443,0.9447,0.9422,0.9423,73
1786198140,0.9422,0.9437,0.9412,0.9437,83
1786198200,0.9437,0.945,0.9431,0.9433,84
1786198260,0.9432,0.9436,0.9404,0.9408,82
1786198320,0.9408,0.9421,0.9392,0.9398,83
1786198380,0.9398,0.9422,0.9396,0.941,74
1786198440,0.941,0.9427,0.94,0.9403,79
1786198500,0.9403,0.9415,0.9393,0.9411,81
1786198560,0.9411,0.9422,0.9393,0.9393,80
1786198620,0.9393,0.9415,0.9392,0.9415,88
1786198680,0.9415,0.9429,0.9404,0.9411,86
1786198740,0.9411,0.9418,0.9389,0.9394,75
1786198800,0.9395,0.9415,0.9391,0.941,75
1786198860,0.941,0.9444,0.9404,0.9442,81
1786198920,0.9442,0.946,0.9433,0.9434,84
1786198980,0.9435,0.9464,0.9431,0.9464,84
1786199040,0.9463,0.9477,0.9449,0.9457,87
1786199100,0.9456,0.9466,0.9442,0.9442,76
1786199160,0.9448,0.9452,0.9436,0.9445,90
1786199220,0.9445,0.9469,0.9435,0.9468,84
1786199280,0.9468,0.9487,0.9468,0.9483,80
1786199340,0.9483,0.9491,0.9468,0.949,83
1786199400,0.949,0.9501,0.9478,0.949,76
1786199460,0.949,0.9501,0.9484,0.9501,84
1786199520,0.9501,0.9502,0.9478,0.9494,80
1786199580,0.9494,0.9494,0.9477,0.9491,79
1786199640,0.9491,0.9513,0.9491,0.9511,75
1786199700,0.9511,0.9525,0.9503,0.9504,80
1786199760,0.9504,0.9505,0.9481,0.9481,77
1786199820,0.948,0.9511,0.9476,0.9511,87
1786199880,0.9511,0.9521,0.9506,0.9518,85
1786199940,0.952,0.9524,0.9495,0.9498,92
1786200000,0.9496,0.9512,0.9496,0.9506,76
1786200060,0.9506,0.9515,0.9503,0.951,84
1786200120,0.951,0.9526,0.9502,0.9517,81
1786200180,0.9518,0.9518,0.9498,0.9501,72
1786200240,0.9501,0.9507,0.9485,0.9502,82
1786200300,0.9502,0.9505,0.9488,0.9504,85
1786200360,0.9504,0.951,0.9492,0.9497,79
1786200420,0.9497,0.9501,0.9464,0.95,82
1786200480,0.95,0.9509,0.9492,0.9503,76
1786200540,0.9503,0.9507,0.9474,0.9499,79
1786200600,0.9499,0.95,0.9463,0.9468,78
1786200660,0.9469,0.9481,0.9456,0.9456,88
1786200720,0.9462,0.9473,0.9447,0.9473,79
1786200780,0.9474,0.9478,0.9451,0.9465,85
1786200840,0.9465,0.9478,0.9451,0.9476,92
1786200900,0.9477,0.9483,0.9468,0.9478,81
1786200960,0.9477,0.9492,0.9454,0.9476,85
1786201020,0.9477,0.9477,0.9461,0.9472,80
1786201080,0.9472,0.9478,0.9452,0.9458,84
1786201140,0.9457,0.9476,0.9457,0.9476,78
1786201200,0.9477,0.9486,0.9464,0.9481,84
1786201260,0.9481,0.9497,0.9472,0.9493,73
1786201320,0.9493,0.9494,0.9475,0.9485,73
1786201380,0.9485,0.9509,0.9485,0.9502,87
1786201440,0.9502,0.9518,0.9494,0.9501,83
1786201500,0.9501,0.9531,0.9493,0.9528,83
1786201560,0.9528,0.9534,0.9515,0.9524,84
1786201620,0.9524,0.9528,0.9509,0.9517,84
1786201680,0.9517,0.9535,0.9514,0.9533,85
1786201740,0.9534,0.9544,0.9528,0.9531,85
1786201800,0.953,0.9535,0.9521,0.9531,75
1786201860,0.9528,0.953,0.9519,0.953,78
1786201920,0.9529,0.9558,0.9523,0.9554,75
1786201980,0.9554,0.9563,0.9539,0.9541,77
1786202040,0.9548,0.9558,0.9548,0.9556,73
1786202100,0.956,0.9563,0.9538,0.9546,82
1786202160,0.9547,0.9549,0.9533,0.9534,80
1786202220,0.9535,0.9577,0.9529,0.9573,83
1786202280,0.9573,0.9579,0.9553,0.9568,74
1786202340,0.9566,0.957,0.9545,0.9546,77
1786202400,0.9546,0.9555,0.9537,0.954,76
1786202460,0.954,0.954,0.9516,0.9538,82
1786202520,0.9538,0.9543,0.9524,0.9531,81
1786202580,0.9531,0.9534,0.9518,0.952,72
1786202640,0.952,0.954,0.9514,0.9515,80
1786202700,0.9514,0.9527,0.9509,0.9509,72
1786202760,0.9509,0.9515,0.9499,0.9514,80
1786202820,0.9514,0.9517,0.9488,0.9493,84
1786202880,0.9494,0.9511,0.9494,0.9509,78
1786202940,0.9509,0.9523,0.9502,0.9509,82
1786203000,0.9509,0.952,0.9492,0.9495,81
1786203060,0.9494,0.9546,0.9493,0.9546,81
1786203120,0.9544,0.9556,0.9544,0.9553,83
1786203180,0.9553,0.96,0.9553,0.9597,85
1786203240,0.9597,0.9604,0.9569,0.9578,86
1786203300,0.9578,0.9578,0.9541,0.9541,83
1786203360,0.9541,0.956,0.9539,0.9559,81
1786203420,0.9559,0.9566,0.954,0.9544,79
1786203480,0.9544,0.9562,0.9532,0.954,78
1786203540,0.954,0.956,0.9539,0.9539,84
1786203600,0.9539,0.9546,0.9532,0.954,83
1786203660,0.9539,0.9551,0.9534,0.9537,77
1786203720,0.9537,0.954,0.9528,0.953,82
1786203780,0.9532,0.9556,0.9532,0.955,79
1786203840,0.9549,0.9554,0.9533,0.9554,91
1786203900,0.9554,0.9554,0.9536,0.9542,76
1786203960,0.9542,0.9546,0.9525,0.9542,79
1786204020,0.9543,0.9547,0.9521,0.9528,70
1786204080,0.953,0.9549,0.953,0.9544,83
1786204140,0.9543,0.9549,0.9532,0.9532,77
1786204200,0.9531,0.9532,0.9504,0.9506,75
1786204260,0.9506,0.9518,0.9506,0.9518,72
1786204320,0.9518,0.9524,0.9513,0.9515,75
1786204380,0.9516,0.9516,0.9487,0.9506,74
1786204440,0.9506,0.9521,0.9503,0.9517,77
1786204500,0.9517,0.9538,0.9508,0.9512,83
1786204560,0.9512,0.9515,0.9491,0.9493,89
1786204620,0.9493,0.9516,0.9493,0.9515,76
1786204680,0.9515,0.9545,0.9515,0.9545,80
1786204740,0.9545,0.9556,0.9536,0.9554,79
1786204800,0.9554,0.9566,0.9549,0.9551,81
1786204860,0.9551,0.956,0.9538,0.956,77
1786204920,0.9561,0.9562,0.9532,0.9534,81
1786204980,0.9533,0.9555,0.9523,0.9544,79
1786205040,0.9545,0.9557,0.9538,0.9542,73
1786205100,0.954,0.9543,0.9526,0.9538,84
1786205160,0.954,0.9557,0.9535,0.9536,76
1786205220,0.9537,0.9571,0.9537,0.9566,74
1786205280,0.9566,0.957,0.9545,0.9545,82
1786205340,0.9545,0.9545,0.9524,0.9532,81
1786205400,0.9535,0.9551,0.9533,0.955,71
1786205460,0.955,0.9559,0.9538,0.9541,82
1786205520,0.9541,0.9556,0.9538,0.9541,77
1786205580,0.9541,0.9561,0.9533,0.9546,85
1786205640,0.9546,0.9567,0.9544,0.9557,84
1786205700,0.9561,0.9589,0.9561,0.9582,75
