time,open,high,low,close,ticks
1786193940,0.20601,0.20617,0.20599,0.20605,83
1786194000,0.20605,0.20634,0.2059,0.20631,88
1786194060,0.20631,0.20635,0.20599,0.206,77
1786194120,0.206,0.20624,0.20596,0.20621,79
1786194180,0.20621,0.20635,0.20616,0.20633,74
1786194240,0.20633,0.20648,0.20623,0.20643,78
1786194300,0.20642,0.20664,0.20642,0.20654,81
1786194360,0.20652,0.20652,0.20636,0.20638,84
1786194420,0.20638,0.20651,0.20637,0.20638,79
1786194480,0.20638,0.20647,0.20634,0.20641,86
1786194540,0.20641,0.20647,0.2063,0.20632,75
1786194600,0.20628,0.20634,0.20614,0.20621,90
1786194660,0.2062,0.20643,0.2062,0.20621,74
1786194720,0.20621,0.20622,0.2061,0.20616,77
1786194780,0.20616,0.20631,0.20601,0.20631,73
1786194840,0.20631,0.20639,0.20623,0.20635,79
1786194900,0.20642,0.20654,0.20632,0.20642,80
1786194960,0.20638,0.20671,0.20633,0.20654,81
1786195020,0.20654,0.20655,0.20623,0.20634,82
1786195080,0.20634,0.20666,0.20631,0.20646,87
1786195140,0.20646,0.20646,0.20607,0.20616,77
1786195200,0.20616,0.20658,0.20615,0.20654,85
1786195260,0.20654,0.20682,0.20654,0.20674,69
1786195320,0.20673,0.20679,0.20661,0.20672,88
1786195380,0.20672,0.20672,0.20639,0.20646,80
1786195440,0.20646,0.20662,0.20645,0.20655,74
1786195500,0.20655,0.2067,0.20654,0.20666,80
1786195560,0.20665,0.20686,0.20665,0.20678,80
1786195620,0.20679,0.20687,0.20661,0.20668,81
1786195680,0.20667,0.20673,0.20658,0.20667,79
1786195740,0.20672,0.20677,0.20665,0.20675,76
1786195800,0.20675,0.20706,0.20674,0.20699,87
1786195860,0.20699,0.20722,0.20694,0.20719,76
1786195920,0.20719,0.20748,0.20718,0.2073,80
1786195980,0.20729,0.2075,0.20723,0.2075,89
1786196040,0.2075,0.2075,0.20709,0.20711,85
1786196100,0.20711,0.20717,0.2069,0.20702,82
1786196160,0.20702,0.20702,0.20671,0.20678,79
1786196220,0.20678,0.20683,0.20666,0.20675,80
1786196280,0.20675,0.20705,0.20675,0.20704,78
1786196340,0.20704,0.20706,0.20687,0.20693,85
1786196400,0.20693,0.20701,0.20677,0.2068,72
1786196460,0.2068,0.2068,0.20645,0.20648,85
1786196520,0.20648,0.20658,0.20646,0.20647,73
1786196580,0.20647,0.20651,0.20635,0.20643,73
1786196640,0.20643,0.20654,0.20642,0.20651,79
1786196700,0.2065,0.20662,0.20647,0.20651,85
1786196760,0.2065,0.2066,0.20647,0.20649,84
1786196820,0.20648,0.20658,0.20634,0.20634,83
1786196880,0.20633,0.20644,0.20622,0.20627,82
1786196940,0.20628,0.20642,0.20621,0.20636,79
1786197000,0.20635,0.20639,0.20584,0.20593,75
1786197060,0.20592,0.20593,0.20575,0.20575,84
1786197120,0.20575,0.20598,0.20575,0.20588,87
1786197180,0.20588,0.20617,0.20588,0.20615,78
1786197240,0.20615,0.2063,0.20606,0.20606,75
1786197300,0.20606,0.2063,0.20603,0.20629,75
1786197360,0.20632,0.20641,0.20617,0.20617,73
1786197420,0.20617,0.20625,0.20609,0.20624,81
1786197480,0.20624,0.20645,0.20622,0.20633,82
1786197540,0.20633,0.20635,0.20611,0.20621,79
1786197600,0.20621,0.20631,0.2061,0.20631,76
1786197660,0.20632,0.20643,0.2062,0.20641,74
1786197720,0.20641,0.20654,0.2063,0.20633,76
1786197780,0.20633,0.2064,0.20622,0.20628,82
1786197840,0.20627,0.20639,0.20617,0.20633,90
1786197900,0.20633,0.20649,0.20628,0.20635,84
1786197960,0.20634,0.20648,0.20623,0.20647,86
1786198020,0.20647,0.2065,0.20603,0.20609,77
1786198080,0.20609,0.2063,0.20609,0.2063,84
1786198140,0.2063,0.20641,0.20622,0.20636,89
1786198200,0.20636,0.20654,0.20635,0.20652,81
1786198260,0.20653,0.20653,0.20617,0.20625,79
1786198320,0.20625,0.20639,0.20622,0.20634,71
1786198380,0.20634,0.20656,0.20634,0.20648,77
1786198440,0.20648,0.20655,0.20606,0.20612,80
1786198500,0.20612,0.20621,0.20591,0.20603,74
1786198560,0.20603,0.20603,0.20584,0.20599,75
1786198620,0.20599,0.20632,0.20596,0.20619,79
1786198680,0.20619,0.2062,0.20588,0.20592,84
1786198740,0.20591,0.20626,0.20591,0.20623,82
1786198800,0.20623,0.20633,0.20617,0.20631,72
1786198860,0.20631,0.20631,0.206,0.20605,75
1786198920,0.20605,0.20625,0.20604,0.2062,78
1786198980,0.2062,0.20652,0.20619,0.20647,77
1786199040,0.20647,0.20662,0.20643,0.20652,76
1786199100,0.20651,0.20663,0.2063,0.2063,73
1786199160,0.2063,0.20637,0.20614,0.20633,74
1786199220,0.20633,0.20647,0.20625,0.20633,86
1786199280,0.20633,0.20677,0.20633,0.20659,76
1786199340,0.20659,0.20671,0.20644,0.20651,86
1786199400,0.20651,0.20655,0.20633,0.20651,84
1786199460,0.20651,0.20651,0.20634,0.20646,89
1786199520,0.20646,0.20676,0.20635,0.20673,72
1786199580,0.20673,0.20695,0.20672,0.2069,79
1786199640,0.2069,0.20702,0.20669,0.20669,85
1786199700,0.20669,0.20692,0.20669,0.20675,78
1786199760,0.20677,0.20677,0.20658,0.20666,83
