time,open,high,low,close,ticks
1786276800,64106.78,64193.97,63978.68,64141.23,1214
1786277700,64141.23,64268.61,63893.02,63930.91,1200
1786278600,63930.91,63961.93,63640.28,63687.6,1191
1786279500,63694.08,63742.94,63361.92,63410.37,1207
1786280400,63410.37,63659.55,63358.02,63495.73,1196
1786281300,63495.73,63507.0,63347.77,63352.03,1193
1786282200,63352.03,63379.03,63114.56,63233.43,1214
1786283100,63233.43,63388.46,63094.71,63188.18,1213
1786284000,63188.18,63284.45,63078.27,63275.45,1211
1786284900,63275.45,63313.97,62882.41,62983.5,1179
1786285800,62983.5,63338.99,62902.33,63299.01,1189
1786286700,63299.01,63386.81,63122.43,63254.51,1198
1786287600,63256.51,63592.73,63239.4,63588.05,1171
1786288500,63588.05,63806.53,63537.39,63745.85,1231
1786289400,63745.85,64151.86,63745.23,64116.32,1180
1786290300,64111.28,64202.46,63863.45,63876.07,1207
1786291200,63876.07,63893.25,63562.1,63698.03,1215
1786292100,63694.29,63800.58,63589.56,63631.84,1219
1786293000,63628.35,63648.1,63206.96,63228.41,1194
1786293900,63228.41,63305.18,63121.7,63201.75,1191
1786294800,63195.98,63229.96,63023.72,63030.41,1182
1786295700,63026.04,63315.48,63003.28,63295.24,1179
1786296600,63299.1,63387.7,63067.53,63201.43,1193
1786297500,63201.43,63246.83,63066.87,63173.25,1203
1786298400,63173.25,63404.88,63009.97,63395.31,1209
1786299300,63395.31,63449.98,63271.58,63303.46,1197
1786300200,63298.71,63393.08,62944.22,62983.99,1188
1786301100,62975.09,63098.15,62693.12,62780.14,1221
1786302000,62787.68,62787.99,62509.59,62612.03,1226
1786302900,62612.03,62812.27,62473.26,62799.82,1180
1786303800,62799.82,62855.22,62340.15,62387.03,1195
1786304700,62387.03,62413.3,62009.64,62009.64,1169
1786305600,62009.64,62055.27,61759.72,61948.31,1230
1786306500,61948.31,61977.39,61660.1,61662.68,1191
1786307400,61660.49,61895.96,61641.19,61847.27,1190
1786308300,61847.27,62134.5,61775.67,62056.96,1177
1786309200,62056.96,62161.08,61855.75,62022.93,1206
1786310100,62022.93,62050.08,61905.44,62008.69,1176
1786311000,62008.69,62123.95,61848.87,62020.28,1216
1786311900,62020.28,62023.32,61657.2,61661.59,1197
1786312800,61666.72,61927.3,61636.73,61737.42,1201
1786313700,61747.32,61898.85,61670.54,61770.23,1191
1786314600,61770.23,61927.59,61569.16,61927.59,1209
1786315500,61927.59,62133.06,61865.03,62090.77,1200
1786316400,62093.69,62476.55,62066.82,62283.63,1168
1786317300,62283.63,62325.39,62108.76,62123.9,1206
1786318200,62122.02,62125.2,61757.02,61839.71,1207
1786319100,61836.93,61955.42,61564.18,61598.74,1203
