time,open,high,low,close,ticks
1786367700,6.415,6.416,6.404,6.405,76
1786367760,6.405,6.414,6.403,6.41,76
1786367820,6.41,6.416,6.407,6.407,82
1786367880,6.407,6.423,6.407,6.419,80
1786367940,6.419,6.444,6.419,6.44,77
1786368000,6.44,6.448,6.439,6.442,90
1786368060,6.442,6.447,6.433,6.447,74
1786368120,6.447,6.452,6.439,6.439,74
1786368180,6.44,6.44,6.427,6.428,81
1786368240,6.428,6.43,6.41,6.414,77
1786368300,6.414,6.414,6.401,6.406,79
1786368360,6.407,6.414,6.403,6.405,71
1786368420,6.405,6.405,6.399,6.399,80
1786368480,6.399,6.4,6.383,6.383,82
1786368540,6.383,6.388,6.379,6.386,80
1786368600,6.389,6.393,6.38,6.385,77
1786368660,6.385,6.385,6.368,6.374,86
1786368720,6.374,6.383,6.371,6.379,73
1786368780,6.379,6.379,6.372,6.378,74
1786368840,6.378,6.39,6.378,6.386,79
1786368900,6.386,6.387,6.372,6.374,85
1786368960,6.374,6.387,6.372,6.384,79
1786369020,6.384,6.388,6.377,6.383,88
1786369080,6.385,6.389,6.379,6.387,85
1786369140,6.387,6.396,6.387,6.392,73
1786369200,6.393,6.397,6.385,6.386,75
1786369260,6.385,6.387,6.369,6.37,76
1786369320,6.37,6.373,6.368,6.37,72
1786369380,6.368,6.368,6.354,6.356,72
1786369440,6.356,6.364,6.355,6.363,87
1786369500,6.362,6.373,6.362,6.372,77
1786369560,6.372,6.373,6.364,6.367,82
1786369620,6.367,6.368,6.345,6.347,81
1786369680,6.347,6.351,6.334,6.334,85
1786369740,6.334,6.346,6.331,6.336,74
1786369800,6.336,6.339,6.325,6.325,87
1786369860,6.325,6.33,6.322,6.323,88
1786369920,6.323,6.342,6.323,6.337,84
1786369980,6.337,6.341,6.325,6.325,78
1786370040,6.323,6.33,6.313,6.317,83
1786370100,6.318,6.329,6.318,6.329,80
1786370160,6.328,6.334,6.315,6.315,80
1786370220,6.315,6.315,6.301,6.302,80
1786370280,6.302,6.302,6.289,6.293,79
1786370340,6.293,6.3,6.281,6.297,77
1786370400,6.3,6.305,6.297,6.305,84
1786370460,6.304,6.313,6.303,6.31,86
1786370520,6.31,6.333,6.31,6.333,73
1786370580,6.332,6.336,6.321,6.324,80
1786370640,6.325,6.331,6.316,6.328,76
1786370700,6.329,6.349,6.328,6.348,90
1786370760,6.348,6.365,6.345,6.365,84
1786370820,6.365,6.369,6.356,6.358,75
1786370880,6.358,6.367,6.355,6.364,77
1786370940,6.364,6.374,6.361,6.371,87
1786371000,6.372,6.378,6.368,6.372,77
1786371060,6.373,6.378,6.37,6.375,72
1786371120,6.375,6.389,6.375,6.389,84
1786371180,6.389,6.411,6.389,6.411,80
1786371240,6.411,6.413,6.39,6.396,76
1786371300,6.396,6.398,6.384,6.387,78
1786371360,6.387,6.388,6.376,6.376,69
1786371420,6.376,6.396,6.376,6.395,79
1786371480,6.395,6.41,6.394,6.404,67
1786371540,6.404,6.416,6.404,6.414,81
1786371600,6.415,6.419,6.411,6.415,78
1786371660,6.416,6.416,6.397,6.397,83
1786371720,6.397,6.407,6.394,6.404,75
1786371780,6.404,6.425,6.404,6.424,80
1786371840,6.424,6.435,6.423,6.43,82
1786371900,6.43,6.43,6.415,6.415,79
1786371960,6.415,6.427,6.413,6.423,85
1786372020,6.423,6.441,6.422,6.434,82
1786372080,6.434,6.434,6.422,6.43,82
1786372140,6.43,6.435,6.417,6.418,82
1786372200,6.418,6.418,6.411,6.414,88
1786372260,6.415,6.42,6.41,6.412,78
1786372320,6.412,6.432,6.411,6.429,71
1786372380,6.429,6.445,6.428,6.437,80
1786372440,6.437,6.446,6.436,6.441,71
1786372500,6.442,6.443,6.431,6.433,78
1786372560,6.433,6.434,6.423,6.424,80
1786372620,6.424,6.433,6.424,6.43,85
1786372680,6.431,6.444,6.431,6.433,79
1786372740,6.433,6.44,6.429,6.43,65
1786372800,6.43,6.445,6.429,6.437,77
1786372860,6.437,6.437,6.414,6.414,79
1786372920,6.414,6.417,6.403,6.413,81
1786372980,6.413,6.413,6.4,6.409,85
1786373040,6.409,6.413,6.401,6.402,78
1786373100,6.402,6.418,6.402,6.415,86
1786373160,6.415,6.427,6.414,6.425,82
1786373220,6.426,6.431,6.425,6.43,81
1786373280,6.43,6.431,6.415,6.416,79
1786373340,6.416,6.416,6.393,6.393,83
1786373400,6.394,6.399,6.381,6.385,84
1786373460,6.385,6.393,6.385,6.388,85
1786373520,6.389,6.396,6.383,6.396,81
1786373580,6.397,6.397,6.384,6.384,78
1786373640,6.385,6.391,6.373,6.387,82
1786373700,6.387,6.399,6.387,6.391,81
1786373760,6.391,6.395,6.386,6.39,82
1786373820,6.39,6.39,6.371,6.373,87
1786373880,6.372,6.374,6.36,6.372,82
1786373940,6.372,6.374,6.367,6.371,77
1786374000,6.371,6.376,6.368,6.369,70
1786374060,6.369,6.374,6.364,6.368,75
1786374120,6.368,6.374,6.367,6.368,71
1786374180,6.368,6.369,6.35,6.351,74
1786374240,6.35,6.352,6.342,6.352,76
1786374300,6.351,6.355,6.346,6.349,82
1786374360,6.348,6.35,6.341,6.349,70
1786374420,6.35,6.36,6.348,6.354,81
1786374480,6.355,6.362,6.34,6.346,82
1786374540,6.346,6.347,6.338,6.346,74
1786374600,6.346,6.348,6.336,6.336,87
1786374660,6.336,6.345,6.335,6.344,70
1786374720,6.344,6.35,6.342,6.343,78
1786374780,6.343,6.345,6.328,6.331,78
1786374840,6.332,6.334,6.323,6.324,84
1786374900,6.324,6.325,6.309,6.312,85
1786374960,6.312,6.321,6.311,6.311,82
1786375020,6.311,6.316,6.306,6.313,79
1786375080,6.314,6.328,6.312,6.326,82
1786375140,6.327,6.332,6.319,6.331,76
1786375200,6.331,6.336,6.328,6.336,82
1786375260,6.335,6.338,6.328,6.332,82
1786375320,6.333,6.349,6.333,6.338,79
1786375380,6.337,6.343,6.336,6.34,76
1786375440,6.34,6.342,6.331,6.338,77
1786375500,6.338,6.338,6.326,6.326,83
1786375560,6.326,6.328,6.313,6.319,76
1786375620,6.32,6.32,6.303,6.306,82
1786375680,6.306,6.311,6.295,6.299,76
1786375740,6.298,6.299,6.288,6.292,77
1786375800,6.292,6.305,6.288,6.305,76
1786375860,6.305,6.309,6.3,6.3,73
1786375920,6.3,6.31,6.296,6.306,85
1786375980,6.306,6.32,6.304,6.318,83
1786376040,6.318,6.321,6.306,6.307,84
1786376100,6.307,6.307,6.288,6.289,79
1786376160,6.289,6.312,6.286,6.312,79
1786376220,6.312,6.322,6.306,6.322,74
1786376280,6.322,6.326,6.313,6.314,76
1786376340,6.314,6.314,6.304,6.307,88
1786376400,6.306,6.309,6.3,6.306,82
1786376460,6.306,6.308,6.296,6.305,76
1786376520,6.306,6.316,6.293,6.313,85
1786376580,6.313,6.317,6.308,6.309,79
1786376640,6.311,6.319,6.307,6.311,85
1786376700,6.312,6.321,6.308,6.312,76
1786376760,6.312,6.317,6.306,6.313,72
1786376820,6.313,6.316,6.301,6.302,81
1786376880,6.302,6.324,6.301,6.324,80
1786376940,6.324,6.325,6.309,6.314,94
1786377000,6.314,6.324,6.314,6.323,77
1786377060,6.323,6.326,6.315,6.317,83
1786377120,6.316,6.323,6.309,6.311,85
1786377180,6.311,6.313,6.302,6.306,78
1786377240,6.306,6.311,6.296,6.303,80
1786377300,6.308,6.314,6.302,6.306,78
1786377360,6.306,6.316,6.306,6.314,85
1786377420,6.314,6.335,6.314,6.329,75
1786377480,6.329,6.34,6.319,6.338,76
1786377540,6.338,6.338,6.329,6.33,72
1786377600,6.33,6.33,6.318,6.323,89
1786377660,6.323,6.334,6.317,6.332,80
1786377720,6.331,6.331,6.319,6.322,81
1786377780,6.322,6.327,6.316,6.316,72
1786377840,6.316,6.328,6.313,6.328,79
1786377900,6.328,6.34,6.321,6.335,81
1786377960,6.335,6.345,6.334,6.344,78
1786378020,6.345,6.351,6.338,6.339,77
1786378080,6.339,6.343,6.332,6.335,82
1786378140,6.335,6.337,6.323,6.33,75
1786378200,6.33,6.335,6.324,6.328,91
1786378260,6.328,6.328,6.316,6.319,71
1786378320,6.319,6.343,6.319,6.338,77
1786378380,6.338,6.342,6.335,6.339,78
1786378440,6.339,6.344,6.334,6.34,88
1786378500,6.341,6.349,6.341,6.345,79
1786378560,6.346,6.36,6.341,6.358,81
1786378620,6.358,6.364,6.354,6.36,79
1786378680,6.361,6.369,6.351,6.353,73
1786378740,6.353,6.355,6.331,6.332,85
1786378800,6.332,6.334,6.324,6.327,73
1786378860,6.327,6.333,6.326,6.333,81
1786378920,6.333,6.334,6.321,6.323,79
1786378980,6.323,6.336,6.322,6.326,82
1786379040,6.324,6.336,6.323,6.327,72
1786379100,6.327,6.344,6.327,6.341,85
1786379160,6.342,6.361,6.342,6.352,81
1786379220,6.352,6.369,6.352,6.368,84
1786379280,6.368,6.371,6.358,6.36,78
1786379340,6.36,6.368,6.356,6.366,80
1786379400,6.364,6.364,6.341,6.341,83
1786379460,6.341,6.342,6.333,6.335,73
1786379520,6.335,6.337,6.324,6.324,78
1786379580,6.324,6.332,6.313,6.328,92
1786379640,6.329,6.33,6.303,6.304,82
1786379700,6.304,6.308,6.297,6.301,81
1786379760,6.301,6.302,6.292,6.296,67
1786379820,6.296,6.298,6.287,6.297,73
1786379880,6.297,6.297,6.29,6.294,79
1786379940,6.294,6.299,6.291,6.291,80
1786380000,6.291,6.299,6.291,6.297,85
1786380060,6.298,6.303,6.294,6.303,77
1786380120,6.303,6.319,6.298,6.318,85
1786380180,6.319,6.34,6.319,6.332,78
1786380240,6.332,6.333,6.319,6.323,85
1786380300,6.323,6.326,6.316,6.321,79
1786380360,6.322,6.327,6.316,6.321,86
1786380420,6.321,6.324,6.315,6.315,84
1786380480,6.315,6.324,6.312,6.319,72
1786380540,6.319,6.331,6.318,6.326,88
1786380600,6.326,6.326,6.313,6.316,83
1786380660,6.316,6.32,6.314,6.315,80
1786380720,6.315,6.323,6.315,6.317,84
1786380780,6.317,6.317,6.295,6.302,85
1786380840,6.302,6.303,6.293,6.302,87
1786380900,6.302,6.302,6.287,6.288,86
1786380960,6.288,6.3,6.284,6.296,77
1786381020,6.296,6.305,6.295,6.301,82
1786381080,6.301,6.316,6.301,6.313,72
1786381140,6.313,6.316,6.308,6.312,79
1786381200,6.312,6.312,6.301,6.311,79
