time,open,high,low,close,ticks
1786367700,1944.12,1944.12,1941.76,1942.41,80
1786367760,1942.41,1945.21,1942.32,1943.92,83
1786367820,1943.92,1944.61,1942.79,1943.57,81
1786367880,1943.57,1944.44,1943.25,1943.96,72
1786367940,1943.96,1946.96,1943.91,1945.02,83
1786368000,1945.02,1948.37,1945.02,1947.99,79
1786368060,1947.99,1949.47,1946.44,1949.46,85
1786368120,1949.3,1950.13,1948.63,1949.64,73
1786368180,1949.78,1949.78,1946.8,1947.59,79
1786368240,1947.59,1947.97,1946.54,1947.17,78
1786368300,1947.08,1948.87,1946.71,1948.62,82
1786368360,1948.62,1950.16,1948.37,1949.73,80
1786368420,1949.57,1950.81,1949.47,1950.0,83
1786368480,1950.0,1953.83,1949.54,1953.56,80
1786368540,1953.46,1953.46,1950.25,1951.06,85
1786368600,1951.06,1951.96,1949.36,1949.36,80
1786368660,1949.36,1950.17,1948.75,1949.48,85
1786368720,1949.48,1950.23,1945.93,1945.93,88
1786368780,1945.93,1947.49,1945.93,1947.49,92
1786368840,1947.49,1949.48,1947.19,1947.94,74
1786368900,1947.94,1947.94,1946.12,1946.98,67
1786368960,1946.56,1950.06,1946.33,1949.28,81
1786369020,1949.49,1951.29,1949.38,1951.29,77
1786369080,1951.23,1953.51,1949.92,1953.38,80
1786369140,1953.38,1953.76,1951.57,1951.95,83
1786369200,1951.71,1952.46,1950.67,1951.86,71
1786369260,1951.86,1952.46,1948.51,1949.33,73
1786369320,1949.42,1950.18,1948.8,1948.92,84
1786369380,1948.32,1948.71,1946.87,1947.18,76
1786369440,1947.18,1948.25,1946.93,1947.44,79
1786369500,1947.35,1947.88,1946.81,1947.71,78
1786369560,1947.84,1951.26,1947.83,1950.28,80
1786369620,1950.28,1951.21,1950.21,1950.39,73
1786369680,1950.3,1950.97,1949.81,1950.28,76
1786369740,1950.28,1951.0,1949.25,1950.28,71
1786369800,1950.28,1950.42,1949.04,1949.17,75
1786369860,1949.17,1949.59,1947.45,1947.45,85
1786369920,1947.45,1948.55,1946.01,1947.76,86
1786369980,1947.76,1948.84,1947.23,1948.48,76
1786370040,1948.42,1949.26,1947.3,1947.96,77
1786370100,1947.96,1950.54,1947.96,1950.54,76
1786370160,1950.47,1950.82,1948.11,1949.27,79
1786370220,1949.27,1951.29,1948.99,1951.2,78
1786370280,1951.2,1951.2,1949.55,1949.91,79
1786370340,1949.91,1950.77,1949.06,1950.56,84
1786370400,1950.56,1952.89,1950.56,1952.72,78
1786370460,1952.72,1952.86,1950.26,1950.88,71
1786370520,1950.8,1954.48,1950.8,1952.06,83
1786370580,1951.91,1953.62,1950.61,1952.79,77
1786370640,1953.14,1954.78,1952.99,1953.16,83
1786370700,1953.16,1953.94,1951.49,1952.4,78
1786370760,1952.4,1953.85,1951.56,1952.3,80
1786370820,1952.3,1952.81,1951.0,1951.81,78
1786370880,1951.81,1952.05,1950.22,1951.56,71
1786370940,1951.56,1953.08,1951.56,1953.05,84
1786371000,1953.05,1954.65,1952.85,1954.41,80
1786371060,1954.63,1956.07,1954.17,1955.07,82
1786371120,1955.21,1957.04,1954.63,1956.71,73
1786371180,1956.56,1957.05,1955.0,1955.06,82
1786371240,1955.06,1955.17,1952.64,1952.73,74
1786371300,1953.73,1953.73,1949.83,1950.21,82
1786371360,1950.11,1952.75,1949.39,1952.56,72
1786371420,1952.56,1955.17,1952.34,1954.88,81
1786371480,1954.88,1958.88,1954.88,1957.95,82
1786371540,1957.72,1959.05,1957.6,1958.63,75
1786371600,1958.63,1959.6,1957.94,1959.04,79
1786371660,1958.86,1959.36,1956.78,1957.16,71
1786371720,1957.16,1960.02,1957.16,1959.77,82
1786371780,1959.77,1959.77,1956.15,1956.15,78
1786371840,1956.15,1958.03,1955.24,1957.58,92
1786371900,1957.58,1957.79,1956.18,1956.32,74
1786371960,1956.64,1957.39,1954.54,1954.55,88
1786372020,1954.36,1955.58,1953.76,1954.09,80
1786372080,1954.09,1954.51,1951.31,1951.31,88
1786372140,1951.31,1951.86,1949.29,1949.29,81
1786372200,1949.29,1949.29,1946.79,1946.79,79
1786372260,1946.79,1947.6,1945.35,1947.53,78
1786372320,1947.53,1948.5,1946.89,1947.02,86
1786372380,1947.11,1948.33,1945.57,1946.35,79
1786372440,1945.99,1948.47,1944.98,1948.3,80
1786372500,1947.69,1947.69,1945.39,1946.67,77
1786372560,1947.63,1948.81,1946.33,1947.09,87
1786372620,1946.97,1947.64,1945.14,1947.41,84
1786372680,1947.61,1949.16,1945.9,1948.57,80
1786372740,1948.57,1948.57,1946.86,1948.34,85
1786372800,1948.34,1949.16,1947.04,1947.4,82
1786372860,1947.4,1947.4,1945.44,1946.31,83
1786372920,1946.31,1948.3,1946.02,1946.83,76
1786372980,1946.83,1948.23,1946.6,1947.79,80
1786373040,1947.79,1948.92,1947.2,1948.8,76
1786373100,1948.8,1949.46,1947.75,1949.42,67
1786373160,1949.51,1951.57,1949.37,1950.45,85
1786373220,1950.29,1950.54,1948.29,1950.1,82
1786373280,1949.9,1951.49,1949.66,1950.11,68
1786373340,1950.02,1951.0,1947.13,1947.63,75
1786373400,1947.56,1947.67,1943.66,1943.66,86
1786373460,1943.56,1944.95,1943.24,1944.44,84
1786373520,1944.44,1945.94,1944.38,1944.64,82
1786373580,1944.64,1944.87,1943.38,1943.53,77
1786373640,1943.41,1946.25,1942.61,1946.22,91
1786373700,1946.29,1946.44,1944.87,1946.09,84
1786373760,1946.09,1946.24,1943.05,1943.38,77
1786373820,1943.38,1943.81,1941.21,1943.81,86
1786373880,1943.72,1945.76,1943.62,1943.84,79
1786373940,1943.84,1944.89,1941.88,1941.88,81
1786374000,1941.88,1941.9,1939.95,1939.95,89
1786374060,1939.95,1941.69,1939.6,1941.37,74
1786374120,1941.44,1943.41,1941.44,1942.25,72
1786374180,1942.15,1943.45,1941.66,1943.03,79
1786374240,1942.91,1943.34,1941.48,1941.87,83
1786374300,1941.79,1943.42,1941.7,1943.17,73
1786374360,1943.41,1943.63,1941.44,1941.7,76
1786374420,1941.7,1943.72,1941.7,1943.36,78
1786374480,1943.48,1944.23,1942.19,1942.19,86
1786374540,1942.31,1942.99,1940.97,1942.18,87
1786374600,1942.18,1942.18,1937.3,1937.45,71
1786374660,1937.45,1937.88,1935.86,1937.37,72
1786374720,1937.37,1939.52,1937.37,1937.94,73
1786374780,1937.94,1939.5,1936.4,1937.63,80
1786374840,1937.55,1938.1,1935.6,1935.68,85
1786374900,1935.68,1938.65,1935.25,1938.31,84
1786374960,1938.31,1942.53,1938.31,1942.5,75
1786375020,1942.5,1943.41,1940.8,1941.7,83
1786375080,1941.7,1942.49,1940.9,1941.62,69
1786375140,1941.68,1941.68,1939.93,1939.93,74
1786375200,1940.0,1940.75,1937.62,1937.62,79
1786375260,1937.39,1938.82,1936.64,1938.28,81
1786375320,1938.28,1942.52,1938.16,1942.52,81
1786375380,1942.61,1943.57,1941.96,1943.57,79
1786375440,1943.57,1943.98,1943.02,1943.07,67
1786375500,1942.95,1944.26,1942.63,1943.21,74
1786375560,1943.21,1945.22,1943.21,1943.94,77
1786375620,1943.78,1944.36,1940.92,1940.92,87
1786375680,1940.92,1941.4,1939.69,1939.8,77
1786375740,1939.8,1942.09,1939.8,1940.87,72
1786375800,1940.87,1940.91,1938.66,1940.14,76
1786375860,1940.14,1943.53,1940.03,1942.09,75
1786375920,1942.09,1943.35,1941.45,1941.61,81
1786375980,1941.61,1941.79,1938.21,1938.3,77
1786376040,1938.3,1941.04,1937.94,1940.88,87
1786376100,1940.88,1942.17,1940.37,1940.65,80
1786376160,1940.75,1942.5,1940.38,1942.48,81
1786376220,1942.63,1944.62,1942.63,1944.2,74
1786376280,1944.2,1944.83,1943.02,1943.44,82
1786376340,1943.44,1943.6,1939.81,1940.11,69
1786376400,1940.24,1940.24,1936.42,1936.54,77
1786376460,1937.2,1939.03,1937.03,1937.89,86
1786376520,1937.89,1938.9,1937.27,1937.49,88
1786376580,1937.95,1940.59,1937.95,1939.45,86
1786376640,1939.59,1941.17,1938.84,1940.55,73
1786376700,1940.55,1941.12,1938.46,1938.68,74
1786376760,1938.68,1940.75,1938.26,1940.64,80
1786376820,1940.64,1944.09,1940.57,1944.09,86
1786376880,1944.09,1945.27,1943.7,1944.62,74
1786376940,1944.62,1944.71,1942.28,1943.19,83
1786377000,1943.19,1944.12,1942.44,1942.44,75
1786377060,1942.44,1943.58,1941.32,1943.55,74
1786377120,1943.65,1944.4,1942.6,1944.4,76
1786377180,1944.4,1944.4,1942.3,1944.01,74
1786377240,1943.85,1946.41,1943.33,1945.64,83
1786377300,1945.74,1945.74,1942.76,1943.3,81
1786377360,1943.41,1943.41,1942.02,1942.73,68
1786377420,1942.63,1945.6,1942.38,1944.52,80
1786377480,1944.3,1946.86,1943.96,1946.79,76
1786377540,1946.79,1951.38,1946.72,1950.93,90
1786377600,1950.93,1951.96,1949.65,1950.98,86
1786377660,1950.98,1952.63,1949.74,1952.63,79
1786377720,1952.84,1952.99,1950.8,1952.14,82
1786377780,1952.14,1952.57,1950.86,1952.48,77
1786377840,1952.48,1952.87,1950.81,1950.81,88
1786377900,1950.81,1951.59,1949.45,1950.08,77
1786377960,1950.08,1954.89,1950.08,1954.51,78
1786378020,1954.39,1954.39,1952.35,1952.63,84
1786378080,1952.63,1953.35,1952.22,1952.81,73
1786378140,1952.81,1954.09,1952.06,1954.09,79
1786378200,1954.09,1954.37,1951.03,1951.11,86
1786378260,1951.11,1954.04,1951.11,1953.73,85
1786378320,1953.87,1954.51,1952.7,1952.7,79
1786378380,1952.7,1953.35,1950.69,1952.99,76
1786378440,1953.07,1956.38,1952.34,1956.18,85
1786378500,1956.27,1956.72,1955.04,1955.93,66
1786378560,1955.76,1956.35,1951.65,1951.65,79
1786378620,1951.65,1952.21,1949.91,1951.06,82
1786378680,1951.06,1953.99,1951.06,1952.85,84
1786378740,1952.73,1953.38,1951.34,1951.48,81
1786378800,1951.48,1951.67,1949.75,1950.23,84
1786378860,1950.23,1951.02,1948.96,1949.23,72
1786378920,1949.23,1951.6,1948.9,1951.39,88
1786378980,1951.39,1952.48,1950.13,1951.0,82
1786379040,1951.16,1951.29,1949.09,1949.37,77
1786379100,1949.37,1950.74,1949.1,1950.32,76
1786379160,1950.71,1950.95,1948.68,1949.23,81
1786379220,1949.23,1950.51,1948.61,1950.51,85
1786379280,1950.51,1951.96,1949.38,1951.13,77
1786379340,1951.13,1951.32,1948.18,1948.18,83
1786379400,1948.18,1948.85,1947.52,1948.05,69
1786379460,1948.14,1948.27,1946.65,1947.59,76
1786379520,1948.18,1948.28,1946.18,1946.62,71
1786379580,1946.62,1946.71,1942.52,1944.06,83
1786379640,1943.96,1944.06,1942.66,1942.98,78
1786379700,1943.32,1946.46,1942.83,1946.33,79
1786379760,1946.33,1947.02,1945.63,1946.38,83
1786379820,1946.38,1947.01,1945.39,1946.57,84
1786379880,1946.57,1946.85,1943.81,1944.5,86
1786379940,1944.5,1944.97,1943.89,1944.39,80
1786380000,1944.39,1945.47,1942.74,1942.89,79
1786380060,1942.99,1944.53,1941.63,1941.83,79
1786380120,1941.77,1941.77,1940.44,1940.88,74
1786380180,1940.88,1941.17,1939.04,1939.37,83
1786380240,1939.21,1939.89,1937.8,1938.23,79
1786380300,1937.74,1939.66,1937.35,1938.23,77
1786380360,1938.34,1938.62,1934.09,1934.09,71
1786380420,1934.2,1935.72,1933.43,1935.42,86
1786380480,1935.33,1935.33,1932.51,1933.14,82
1786380540,1933.02,1933.15,1930.11,1930.41,77
1786380600,1930.41,1930.61,1928.05,1930.34,78
1786380660,1930.52,1930.82,1927.63,1927.9,88
1786380720,1927.98,1932.47,1927.95,1931.97,83
1786380780,1931.97,1933.08,1930.82,1932.91,81
1786380840,1932.91,1935.1,1932.42,1933.95,77
1786380900,1933.95,1935.85,1933.72,1933.82,78
1786380960,1933.82,1935.29,1931.82,1932.31,83
1786381020,1932.14,1933.6,1932.14,1932.27,77
1786381080,1932.18,1933.52,1930.57,1933.06,88
1786381140,1933.51,1934.71,1933.26,1933.55,74
1786381200,1933.55,1934.38,1932.73,1934.38,84
1786381260,1934.38,1934.94,1932.77,1933.45,76
1786381320,1933.59,1937.57,1933.37,1937.57,86
1786381380,1937.57,1937.57,1935.76,1935.87,83
1786381440,1935.87,1937.4,1934.87,1935.76,80
1786381500,1935.67,1936.85,1935.53,1936.64,79
1786381560,1936.64,1937.61,1935.17,1936.5,85
1786381620,1936.5,1936.71,1934.92,1935.01,78
1786381680,1935.01,1935.51,1931.49,1931.65,71
1786381740,1931.78,1933.24,1931.08,1933.08,87
1786381800,1933.22,1934.58,1932.04,1934.4,78
1786381860,1934.4,1934.95,1931.9,1932.0,76
1786381920,1932.0,1933.1,1931.74,1933.04,75
1786381980,1932.72,1933.73,1931.92,1932.32,78
1786382040,1932.23,1933.76,1932.21,1933.76,85
1786382100,1933.91,1935.21,1932.86,1933.38,83
1786382160,1933.38,1935.85,1933.07,1934.93,78
1786382220,1934.93,1938.01,1934.32,1937.3,74
1786382280,1937.41,1939.79,1936.4,1939.79,80
1786382340,1939.7,1941.42,1939.09,1940.94,87
1786382400,1940.94,1941.09,1937.6,1938.64,87
1786382460,1938.54,1938.92,1936.96,1937.44,80
1786382520,1937.75,1937.99,1936.11,1937.14,68
1786382580,1937.14,1938.3,1936.41,1936.78,76
1786382640,1936.62,1941.72,1936.49,1941.72,89
1786382700,1941.59,1942.07,1940.76,1941.29,71
1786382760,1941.29,1942.02,1940.53,1940.72,82
1786382820,1940.57,1941.12,1938.09,1938.09,83
1786382880,1938.09,1938.59,1936.55,1937.71,73
1786382940,1937.71,1938.68,1937.12,1937.27,71
1786383000,1937.27,1938.52,1936.32,1937.28,78
1786383060,1937.28,1937.28,1933.3,1933.6,85
1786383120,1933.6,1933.82,1930.83,1930.83,78
1786383180,1930.83,1931.25,1929.41,1930.77,82
1786383240,1930.88,1933.12,1930.88,1932.14,76
1786383300,1932.14,1932.43,1930.77,1931.01,84
1786383360,1931.21,1931.21,1926.54,1926.82,81
1786383420,1926.76,1928.02,1926.31,1927.39,78
1786383480,1927.39,1927.39,1924.57,1925.31,79
1786383540,1925.81,1927.31,1925.46,1926.32,72
1786383600,1926.32,1930.21,1925.55,1929.84,87
1786383660,1929.64,1929.7,1927.57,1928.19,82
1786383720,1928.06,1928.67,1926.24,1927.81,76
1786383780,1927.72,1928.72,1925.48,1925.85,82
1786383840,1925.71,1928.29,1925.41,1927.1,83
1786383900,1927.1,1928.9,1925.75,1926.25,79
1786383960,1926.25,1928.46,1925.93,1927.84,80
1786384020,1927.84,1928.56,1926.97,1927.2,82
1786384080,1927.2,1927.77,1926.11,1926.96,81
1786384140,1926.96,1927.87,1925.42,1925.59,87
1786384200,1925.59,1926.98,1924.85,1926.23,81
1786384260,1926.23,1927.56,1926.15,1926.41,76
1786384320,1926.53,1927.15,1924.48,1924.48,78
1786384380,1924.55,1924.75,1922.06,1923.86,79
1786384440,1923.94,1926.93,1923.42,1925.71,90
1786384500,1925.71,1925.71,1922.61,1922.76,77
1786384560,1922.76,1924.08,1921.86,1922.29,80
1786384620,1922.74,1923.94,1922.61,1922.82,86
1786384680,1922.82,1923.56,1922.28,1923.46,84
1786384740,1923.46,1924.16,1921.97,1922.09,74
1786384800,1922.09,1923.16,1921.88,1922.07,85
1786384860,1922.22,1923.04,1921.04,1921.57,69
1786384920,1921.57,1922.22,1918.76,1919.0,79
1786384980,1919.0,1919.18,1917.36,1918.37,82
1786385040,1918.37,1918.89,1914.35,1915.19,77
1786385100,1915.19,1915.79,1914.35,1915.3,79
1786385160,1915.3,1916.66,1915.28,1916.52,68
1786385220,1916.52,1917.12,1915.36,1915.53,84
1786385280,1915.53,1916.79,1914.41,1914.89,73
1786385340,1914.64,1916.28,1914.09,1915.3,79
1786385400,1915.3,1915.91,1913.31,1914.51,71
1786385460,1914.51,1915.1,1913.69,1914.98,79
1786385520,1914.9,1916.62,1914.49,1916.62,78
1786385580,1916.5,1917.35,1915.8,1916.99,81
1786385640,1917.09,1918.75,1915.47,1915.47,84
1786385700,1915.74,1916.11,1914.6,1915.0,80
1786385760,1914.58,1915.79,1913.49,1915.11,84
1786385820,1914.94,1916.95,1914.51,1916.64,76
1786385880,1916.57,1916.8,1914.43,1915.03,82
1786385940,1915.03,1915.96,1913.88,1915.4,80
1786386000,1915.4,1916.99,1914.82,1916.54,82
1786386060,1916.54,1916.54,1914.44,1915.16,75
1786386120,1915.16,1915.88,1912.35,1912.58,88
1786386180,1912.58,1914.47,1912.58,1913.56,80
1786386240,1913.56,1913.56,1911.99,1912.23,84
1786386300,1912.23,1916.52,1912.23,1915.29,80
1786386360,1915.29,1915.29,1913.19,1914.21,84
1786386420,1914.21,1918.21,1913.87,1918.1,78
1786386480,1918.1,1919.16,1916.29,1917.35,77
1786386540,1917.35,1918.22,1915.68,1916.18,79
1786386600,1916.18,1916.77,1915.13,1915.8,81
1786386660,1915.7,1918.0,1915.56,1917.71,77
1786386720,1917.42,1920.13,1917.17,1919.41,80
1786386780,1919.78,1920.53,1919.39,1920.42,72
1786386840,1920.53,1921.5,1919.96,1920.55,74
1786386900,1920.55,1922.02,1920.55,1921.87,77
1786386960,1921.87,1921.87,1919.4,1919.76,71
1786387020,1919.76,1920.98,1919.04,1920.98,83
1786387080,1920.98,1923.48,1920.85,1921.97,66
1786387140,1922.12,1922.12,1919.51,1920.42,76
1786387200,1920.42,1920.48,1917.79,1918.12,78
