time,open,high,low,close,ticks
1786276800,8.357,8.46,8.334,8.431,1198
1786277700,8.431,8.463,8.345,8.415,1194
1786278600,8.415,8.48,8.399,8.465,1192
1786279500,8.466,8.473,8.359,8.374,1182
1786280400,8.374,8.473,8.363,8.376,1202
1786281300,8.376,8.441,8.344,8.41,1219
1786282200,8.41,8.478,8.396,8.433,1185
1786283100,8.433,8.464,8.385,8.393,1192
1786284000,8.393,8.412,8.31,8.328,1202
1786284900,8.329,8.365,8.269,8.269,1213
1786285800,8.268,8.298,8.198,8.215,1192
1786286700,8.215,8.302,8.132,8.292,1235
1786287600,8.292,8.421,8.289,8.372,1176
1786288500,8.374,8.443,8.36,8.413,1164
1786289400,8.413,8.541,8.412,8.526,1178
1786290300,8.529,8.575,8.472,8.554,1209
1786291200,8.554,8.578,8.516,8.543,1204
1786292100,8.544,8.7,8.539,8.671,1216
1786293000,8.671,8.746,8.636,8.642,1210
1786293900,8.642,8.709,8.639,8.64,1201
1786294800,8.641,8.738,8.595,8.728,1216
1786295700,8.729,8.759,8.62,8.63,1193
1786296600,8.63,8.634,8.547,8.564,1199
1786297500,8.564,8.589,8.507,8.54,1202
1786298400,8.54,8.575,8.497,8.507,1229
1786299300,8.507,8.587,8.479,8.569,1196
1786300200,8.569,8.612,8.523,8.563,1159
1786301100,8.564,8.571,8.334,8.336,1186
1786302000,8.336,8.4,8.307,8.394,1188
1786302900,8.394,8.433,8.269,8.284,1188
1786303800,8.284,8.367,8.264,8.361,1222
1786304700,8.361,8.476,8.355,8.428,1224
1786305600,8.428,8.447,8.328,8.365,1190
1786306500,8.365,8.411,8.289,8.381,1196
1786307400,8.383,8.432,8.361,8.388,1199
1786308300,8.388,8.468,8.382,8.45,1210
1786309200,8.45,8.496,8.424,8.465,1234
1786310100,8.465,8.487,8.402,8.446,1173
1786311000,8.446,8.503,8.432,8.491,1216
1786311900,8.491,8.531,8.48,8.492,1184
1786312800,8.491,8.493,8.38,8.383,1188
1786313700,8.383,8.439,8.369,8.434,1199
1786314600,8.434,8.613,8.431,8.583,1219
1786315500,8.583,8.771,8.577,8.766,1173
1786316400,8.766,8.822,8.738,8.787,1190
1786317300,8.787,8.83,8.731,8.785,1175
1786318200,8.785,8.873,8.732,8.734,1166
1786319100,8.735,8.846,8.713,8.834,1200
1786320000,8.834,8.838,8.648,8.648,1245
1786320900,8.648,8.695,8.612,8.625,1219
1786321800,8.623,8.72,8.59,8.705,1172
1786322700,8.706,8.797,8.7,8.787,1226
1786323600,8.787,8.809,8.707,8.717,1208
1786324500,8.718,8.722,8.603,8.642,1224
1786325400,8.642,8.696,8.626,8.692,1202
1786326300,8.692,8.748,8.669,8.738,1225
1786327200,8.739,8.76,8.652,8.664,1209
1786328100,8.665,8.747,8.637,8.64,1193
1786329000,8.64,8.684,8.579,8.668,1197
1786329900,8.668,8.785,8.666,8.781,1183
1786330800,8.781,8.85,8.776,8.794,1205
1786331700,8.794,8.931,8.785,8.919,1219
1786332600,8.919,8.973,8.881,8.946,1175
1786333500,8.945,9.01,8.934,8.973,1167
1786334400,8.973,9.038,8.945,8.957,1177
1786335300,8.958,8.991,8.922,8.946,1203
1786336200,8.946,8.975,8.913,8.965,1166
1786337100,8.966,8.98,8.908,8.96,1224
