time,open,high,low,close,ticks
1786276800,0.82247,0.82315,0.82119,0.82145,1177
1786277700,0.82145,0.82326,0.82045,0.82102,1201
1786278600,0.82102,0.82222,0.82045,0.82116,1185
1786279500,0.82116,0.82139,0.81939,0.81972,1182
1786280400,0.81972,0.82193,0.81829,0.81948,1200
1786281300,0.81952,0.82072,0.81656,0.81658,1207
1786282200,0.81667,0.81733,0.81539,0.81724,1200
1786283100,0.81724,0.81819,0.81571,0.81774,1192
1786284000,0.81774,0.81774,0.8151,0.81591,1198
1786284900,0.81584,0.81609,0.81021,0.8112,1170
1786285800,0.81122,0.8115,0.8076,0.8077,1214
1786286700,0.8077,0.80777,0.80411,0.80506,1194
1786287600,0.80506,0.80679,0.80394,0.80415,1214
1786288500,0.80415,0.80707,0.80394,0.80673,1182
1786289400,0.80669,0.80848,0.8057,0.80689,1189
1786290300,0.80689,0.8083,0.80556,0.80611,1190
1786291200,0.80611,0.80749,0.80371,0.80457,1194
1786292100,0.8045,0.80676,0.80403,0.80452,1198
1786293000,0.80452,0.80551,0.80239,0.80254,1200
1786293900,0.80247,0.80405,0.80204,0.80337,1213
1786294800,0.80334,0.80479,0.80246,0.80278,1191
1786295700,0.80281,0.80352,0.80123,0.80158,1191
1786296600,0.80155,0.80249,0.79913,0.80035,1206
1786297500,0.80035,0.80081,0.79852,0.79883,1196
1786298400,0.79883,0.79984,0.79694,0.7987,1176
1786299300,0.7987,0.8013,0.79647,0.79664,1208
1786300200,0.79668,0.7995,0.79584,0.79929,1179
1786301100,0.79931,0.80191,0.79833,0.80045,1197
1786302000,0.8005,0.8005,0.79791,0.79943,1212
1786302900,0.79943,0.80122,0.7979,0.80052,1219
1786303800,0.80052,0.80293,0.79924,0.80254,1197
1786304700,0.80254,0.80256,0.79927,0.80157,1210
1786305600,0.80157,0.80261,0.79926,0.79926,1238
1786306500,0.79931,0.80265,0.79796,0.80188,1211
1786307400,0.80197,0.80292,0.79912,0.80281,1233
1786308300,0.80281,0.8071,0.80264,0.80601,1196
1786309200,0.80601,0.80716,0.80278,0.80282,1209
1786310100,0.80282,0.80288,0.8002,0.8017,1220
1786311000,0.8017,0.80243,0.79954,0.80058,1176
1786311900,0.80058,0.80205,0.79778,0.7982,1209
1786312800,0.79817,0.80083,0.79723,0.79885,1175
1786313700,0.79881,0.80166,0.79873,0.80031,1209
1786314600,0.80033,0.80308,0.80019,0.8023,1261
1786315500,0.8023,0.80241,0.79949,0.79949,1199
1786316400,0.79946,0.80098,0.79779,0.79848,1189
1786317300,0.79848,0.80053,0.79806,0.79991,1209
1786318200,0.79996,0.80643,0.79947,0.8063,1176
1786319100,0.80633,0.80858,0.80589,0.80696,1216
1786320000,0.80696,0.80812,0.80569,0.80602,1214
1786320900,0.80602,0.8061,0.8035,0.80431,1231
1786321800,0.80431,0.80818,0.8042,0.80767,1202
1786322700,0.80776,0.80828,0.80455,0.80495,1224
1786323600,0.80495,0.80514,0.80246,0.80324,1203
1786324500,0.80324,0.80604,0.80274,0.80424,1182
1786325400,0.80424,0.80648,0.80346,0.80606,1165
1786326300,0.80606,0.80624,0.80354,0.80361,1190
1786327200,0.80365,0.80564,0.80226,0.80564,1208
1786328100,0.8056,0.80665,0.80412,0.80665,1165
1786329000,0.80667,0.80786,0.80561,0.80719,1210
1786329900,0.80719,0.8078,0.80441,0.80712,1167
1786330800,0.80712,0.81045,0.80682,0.81039,1195
1786331700,0.81039,0.81102,0.80658,0.80675,1151
1786332600,0.80675,0.80791,0.80547,0.80651,1211
1786333500,0.80654,0.80806,0.80442,0.80782,1173
1786334400,0.80782,0.80927,0.80695,0.80788,1198
1786335300,0.80791,0.8112,0.80775,0.81073,1185
1786336200,0.81073,0.81302,0.80941,0.80955,1163
1786337100,0.80967,0.81111,0.80709,0.80734,1200
1786338000,0.80734,0.80758,0.80433,0.80454,1194
1786338900,0.80454,0.8052,0.80101,0.80244,1165
1786339800,0.80244,0.80259,0.7991,0.79957,1187
1786340700,0.7996,0.79976,0.79587,0.79587,1194
1786341600,0.79583,0.79624,0.79372,0.79482,1212
1786342500,0.79486,0.79582,0.79372,0.79564,1192
1786343400,0.79564,0.79637,0.79306,0.79412,1186
1786344300,0.79412,0.79458,0.79253,0.79371,1166
1786345200,0.79398,0.79417,0.79098,0.79414,1186
1786346100,0.7941,0.79544,0.79354,0.79413,1226
1786347000,0.79413,0.79494,0.79054,0.79164,1202
1786347900,0.79158,0.79572,0.79149,0.79476,1202
1786348800,0.79476,0.79793,0.79456,0.79701,1202
1786349700,0.79704,0.79959,0.79537,0.79945,1199
1786350600,0.79945,0.80202,0.79834,0.80202,1219
1786351500,0.80205,0.80389,0.80098,0.80273,1215
1786352400,0.80273,0.80275,0.79963,0.80209,1222
1786353300,0.80205,0.80293,0.80063,0.80233,1227
1786354200,0.80233,0.80536,0.80169,0.80494,1178
1786355100,0.8049,0.80699,0.80424,0.80688,1172
1786356000,0.80688,0.80879,0.80638,0.80747,1219
1786356900,0.80744,0.81012,0.80677,0.80791,1209
1786357800,0.80791,0.80962,0.80696,0.80862,1196
1786358700,0.80862,0.80898,0.80591,0.80609,1204
1786359600,0.80609,0.80839,0.80497,0.80709,1232
1786360500,0.80705,0.80774,0.80364,0.80384,1196
1786361400,0.80378,0.80637,0.80368,0.80636,1193
1786362300,0.80636,0.80821,0.80577,0.80668,1196
1786363200,0.80665,0.80671,0.80479,0.8051,1174
1786364100,0.8051,0.80586,0.80349,0.80452,1190
1786365000,0.80448,0.80515,0.80199,0.80363,1157
1786365900,0.80363,0.80492,0.80187,0.80475,1189
1786366800,0.80475,0.80647,0.8035,0.80539,1208
1786367700,0.80539,0.80539,0.80183,0.80229,1216
1786368600,0.80229,0.80382,0.80112,0.80151,1192
1786369500,0.80151,0.80288,0.80084,0.80135,1179
1786370400,0.80135,0.80195,0.79671,0.79818,1183
1786371300,0.79816,0.80027,0.79738,0.79978,1195
1786372200,0.79978,0.80076,0.79815,0.79958,1162
1786373100,0.79958,0.80299,0.79935,0.80289,1209
1786374000,0.80289,0.80391,0.80115,0.80376,1202
1786374900,0.80376,0.82299,0.80227,0.82096,1222
1786375800,0.82096,0.82107,0.81833,0.81986,1212
1786376700,0.81986,0.82061,0.81744,0.81882,1176
1786377600,0.81886,0.81999,0.81815,0.81962,1212
1786378500,0.81962,0.82124,0.81842,0.82105,1221
1786379400,0.8211,0.82116,0.81666,0.81903,1191
1786380300,0.81903,0.82169,0.81866,0.82052,1192
1786381200,0.82052,0.82275,0.81939,0.82245,1203
1786382100,0.82241,0.82331,0.82077,0.82293,1189
1786383000,0.82293,0.82595,0.82267,0.82491,1204
1786383900,0.82491,0.82653,0.82311,0.82592,1175
1786384800,0.82592,0.82703,0.82469,0.82609,1191
1786385700,0.82609,0.82642,0.82244,0.82344,1180
1786386600,0.82344,0.82344,0.82066,0.82109,1163
1786387500,0.82111,0.8235,0.82019,0.82251,1207
1786388400,0.82251,0.82503,0.82107,0.82123,1179
1786389300,0.82123,0.82214,0.82053,0.8209,1170
1786390200,0.8209,0.82277,0.81981,0.82261,1177
1786391100,0.82261,0.8236,0.82132,0.82219,1190
1786392000,0.82219,0.82305,0.8206,0.82143,1154
1786392900,0.82143,0.82342,0.82071,0.82071,1211
1786393800,0.82065,0.82147,0.8175,0.81801,1184
1786394700,0.81801,0.82324,0.81789,0.82292,1207
1786395600,0.82292,0.82437,0.82177,0.82203,1201
1786396500,0.82203,0.82419,0.82182,0.82331,1200
1786397400,0.82328,0.8277,0.82322,0.82417,1191
1786398300,0.82417,0.82428,0.82137,0.82353,1225
1786399200,0.82353,0.82532,0.81933,0.81945,1217
1786400100,0.81945,0.82028,0.81758,0.81825,1205
1786401000,0.81825,0.82365,0.81787,0.82328,1222
1786401900,0.82328,0.82443,0.82114,0.823,1177
1786402800,0.823,0.82421,0.82156,0.82217,1216
1786403700,0.82217,0.82279,0.82017,0.8215,1200
1786404600,0.8215,0.8232,0.82061,0.82245,1189
1786405500,0.82245,0.82248,0.82015,0.82104,1199
1786406400,0.821,0.82379,0.81996,0.82346,1221
1786407300,0.82346,0.82645,0.82271,0.82498,1140
1786408200,0.82501,0.82558,0.82237,0.82365,1220
1786409100,0.82365,0.82382,0.81978,0.82057,1161
1786410000,0.82057,0.82197,0.81943,0.8219,1199
1786410900,0.8219,0.82591,0.82142,0.82588,1182
1786411800,0.82585,0.82776,0.82507,0.82652,1196
1786412700,0.82658,0.82663,0.82303,0.82334,1177
1786413600,0.82334,0.82737,0.82307,0.82545,1214
1786414500,0.82545,0.82556,0.82289,0.82385,1151
1786415400,0.82385,0.82705,0.82317,0.82621,1182
1786416300,0.82624,0.83092,0.82464,0.83057,1187
1786417200,0.83054,0.83356,0.83037,0.83347,1203
1786418100,0.83347,0.83412,0.83131,0.83393,1194
1786419000,0.83393,0.83533,0.83294,0.83487,1204
1786419900,0.83487,0.83599,0.83358,0.83515,1218
1786420800,0.83515,0.83658,0.83416,0.83616,1176
1786421700,0.83616,0.83841,0.83415,0.83706,1189
1786422600,0.83706,0.83945,0.83657,0.83797,1205
1786423500,0.83793,0.83796,0.8334,0.83486,1195
1786424400,0.83498,0.83523,0.83302,0.83321,1223
1786425300,0.83321,0.83423,0.83019,0.83081,1173
1786426200,0.83086,0.83358,0.829,0.83345,1190
1786427100,0.83345,0.8377,0.83314,0.83693,1226
1786428000,0.83693,0.83759,0.83455,0.83704,1229
1786428900,0.83695,0.83832,0.83627,0.83759,1207
1786429800,0.83763,0.83864,0.83585,0.83859,1179
1786430700,0.83854,0.83914,0.83722,0.83722,1223
1786431600,0.83722,0.84028,0.83715,0.83962,1234
1786432500,0.83962,0.84005,0.83797,0.83826,1201
1786433400,0.83826,0.84043,0.8375,0.83939,1202
1786434300,0.83939,0.83982,0.8374,0.83896,1189
1786435200,0.83908,0.84051,0.83398,0.83506,1196
1786436100,0.83506,0.83565,0.83241,0.83327,1179
1786437000,0.83327,0.83444,0.83274,0.83345,1193
1786437900,0.83345,0.8341,0.83211,0.8336,1211
1786438800,0.83355,0.83378,0.83115,0.83293,1195
1786439700,0.83281,0.83626,0.83198,0.83582,1206
1786440600,0.83586,0.8362,0.83349,0.83588,1219
1786441500,0.83584,0.83587,0.83333,0.83339,1195
1786442400,0.83339,0.83764,0.83295,0.83703,1199
1786443300,0.83703,0.83776,0.83471,0.83645,1228
1786444200,0.83645,0.83823,0.83478,0.83776,1180
1786445100,0.83776,0.83921,0.83565,0.8371,1190
1786446000,0.83715,0.84127,0.8365,0.84008,1155
1786446900,0.84011,0.8417,0.83904,0.84053,1179
1786447800,0.84055,0.84238,0.83934,0.84169,1220
1786448700,0.84169,0.84398,0.84093,0.84254,1184
1786449600,0.84254,0.84268,0.8395,0.84001,1173
1786450500,0.84001,0.84248,0.83967,0.84107,1190
1786451400,0.84107,0.84316,0.83962,0.84001,1190
1786452300,0.84001,0.84267,0.83892,0.84198,1191
1786453200,0.84198,0.84263,0.84017,0.8414,1235
1786454100,0.84144,0.84597,0.84126,0.84453,1199
1786455000,0.84721,0.84742,0.84582,0.84607,256
