time,open,high,low,close,ticks
1786367820,68.42,68.55,68.37,68.37,82
1786367880,68.37,68.42,68.17,68.19,82
1786367940,68.19,68.38,68.08,68.08,85
1786368000,68.09,68.23,68.08,68.23,81
1786368060,68.23,68.25,68.1,68.14,79
1786368120,68.14,68.16,67.87,67.97,88
1786368180,67.97,68.09,67.86,67.98,87
1786368240,67.98,68.16,67.94,68.13,76
1786368300,68.14,68.4,68.14,68.26,78
1786368360,68.26,68.29,68.21,68.28,72
1786368420,68.33,68.45,68.32,68.38,73
1786368480,68.38,68.4,68.23,68.32,80
1786368540,68.32,68.47,68.32,68.39,81
1786368600,68.39,68.69,68.29,68.67,75
1786368660,68.67,68.67,68.16,68.2,83
1786368720,68.2,68.48,68.19,68.46,77
1786368780,68.46,68.54,68.13,68.13,82
1786368840,68.13,68.14,67.98,68.1,79
1786368900,68.1,68.12,68.01,68.08,79
1786368960,68.11,68.32,68.07,68.27,78
1786369020,68.27,68.81,68.26,68.81,79
1786369080,68.81,68.97,68.79,68.79,74
1786369140,68.8,68.83,68.62,68.64,84
1786369200,68.65,68.84,68.65,68.75,71
1786369260,68.75,68.94,68.73,68.89,77
1786369320,68.89,68.97,68.4,68.5,75
1786369380,68.51,68.57,68.32,68.5,89
1786369440,68.49,68.88,68.46,68.79,78
1786369500,68.77,68.88,68.69,68.77,87
1786369560,68.77,68.9,68.65,68.67,73
1786369620,68.68,68.78,68.62,68.69,76
1786369680,68.7,68.75,68.54,68.56,75
1786369740,68.56,68.86,68.45,68.84,82
1786369800,68.84,69.14,68.84,69.0,74
1786369860,69.0,69.31,69.0,69.18,79
1786369920,69.18,69.5,69.16,69.41,72
1786369980,69.41,69.52,69.32,69.51,78
1786370040,69.54,69.68,69.3,69.44,82
1786370100,69.44,69.44,69.27,69.38,88
1786370160,69.4,69.4,69.2,69.35,76
1786370220,69.35,69.51,69.29,69.48,83
1786370280,69.48,69.61,69.47,69.57,79
1786370340,69.57,69.66,69.47,69.6,78
1786370400,69.61,69.76,69.61,69.68,80
1786370460,69.67,69.84,69.63,69.84,79
1786370520,69.83,69.87,69.72,69.72,79
1786370580,69.72,69.73,69.51,69.64,83
1786370640,69.65,69.7,69.47,69.7,88
1786370700,69.69,69.79,69.62,69.62,73
1786370760,69.62,69.65,69.38,69.63,82
1786370820,69.63,69.63,69.5,69.56,79
1786370880,69.56,69.59,69.36,69.4,74
1786370940,69.4,69.4,68.95,68.97,84
1786371000,68.96,68.96,68.74,68.74,83
1786371060,68.75,68.94,68.72,68.9,78
1786371120,68.9,68.9,68.73,68.8,80
1786371180,68.81,69.09,68.8,69.06,75
1786371240,69.06,69.28,69.06,69.23,81
1786371300,69.24,69.33,69.05,69.14,66
1786371360,69.15,69.16,68.88,68.88,83
1786371420,68.88,69.24,68.86,69.19,77
1786371480,69.2,69.34,69.14,69.32,75
1786371540,69.3,69.47,69.19,69.19,79
1786371600,69.19,69.25,69.11,69.16,84
1786371660,69.16,69.31,69.07,69.26,81
1786371720,69.26,69.34,69.16,69.16,77
1786371780,69.16,69.17,68.78,68.78,91
1786371840,68.78,69.03,68.78,69.01,81
1786371900,69.01,69.28,68.98,69.25,81
1786371960,69.27,69.33,69.12,69.3,88
1786372020,69.29,69.37,69.19,69.19,82
1786372080,69.2,69.34,69.18,69.22,81
1786372140,69.22,69.29,69.06,69.28,82
1786372200,69.28,69.42,69.25,69.25,73
