time,open,high,low,close,ticks
1786367880,1.5795,1.5802,1.577,1.5775,78
1786367940,1.5775,1.5796,1.5775,1.5787,76
1786368000,1.5786,1.5788,1.5763,1.5763,82
1786368060,1.5763,1.5787,1.5753,1.5775,73
1786368120,1.5777,1.5794,1.5766,1.5788,73
1786368180,1.5788,1.5846,1.5781,1.5845,90
1786368240,1.5845,1.5867,1.5828,1.5865,78
1786368300,1.5864,1.5884,1.5864,1.5877,81
1786368360,1.5879,1.5881,1.586,1.5862,85
1786368420,1.5862,1.5862,1.5835,1.5857,77
1786368480,1.5842,1.5847,1.5813,1.5813,95
1786368540,1.5814,1.5835,1.5789,1.5789,79
1786368600,1.5791,1.5803,1.5762,1.5801,92
1786368660,1.5801,1.5814,1.5789,1.5809,75
1786368720,1.5809,1.5817,1.5767,1.5768,84
1786368780,1.5768,1.5768,1.5746,1.5749,73
1786368840,1.5749,1.5753,1.573,1.575,78
1786368900,1.575,1.5778,1.575,1.5773,74
1786368960,1.5773,1.5792,1.5762,1.5792,80
1786369020,1.5794,1.5813,1.5781,1.5792,75
1786369080,1.5792,1.58,1.5771,1.5776,80
1786369140,1.5773,1.5782,1.5755,1.5771,84
1786369200,1.5773,1.5814,1.5772,1.5807,89
1786369260,1.5809,1.5833,1.5803,1.5831,83
1786369320,1.5827,1.5844,1.5815,1.5837,75
1786369380,1.5836,1.5858,1.582,1.5846,77
1786369440,1.5846,1.5886,1.5844,1.5853,83
1786369500,1.5853,1.5898,1.5845,1.5896,88
1786369560,1.5896,1.5917,1.5881,1.5908,85
1786369620,1.5909,1.5911,1.5853,1.5855,81
1786369680,1.5857,1.5857,1.583,1.5836,84
1786369740,1.5836,1.5874,1.5829,1.5866,82
1786369800,1.5866,1.5874,1.585,1.5863,85
1786369860,1.5863,1.5865,1.5826,1.584,93
1786369920,1.584,1.5892,1.5835,1.5882,73
1786369980,1.5884,1.591,1.5882,1.5901,86
1786370040,1.5901,1.5904,1.5832,1.5835,82
1786370100,1.5836,1.5874,1.5836,1.5874,87
1786370160,1.5874,1.5887,1.5858,1.5878,78
1786370220,1.5878,1.5895,1.5876,1.5879,72
1786370280,1.5879,1.5908,1.5879,1.5898,75
1786370340,1.5898,1.5902,1.5853,1.5857,73
1786370400,1.5857,1.59,1.5857,1.5899,66
1786370460,1.5899,1.5935,1.5895,1.5935,82
1786370520,1.5932,1.5972,1.5932,1.5937,85
1786370580,1.5937,1.5992,1.5937,1.5975,74
1786370640,1.5977,1.5987,1.5958,1.5968,82
1786370700,1.5968,1.5978,1.594,1.5961,76
1786370760,1.5961,1.6003,1.5961,1.6003,87
1786370820,1.6003,1.602,1.5978,1.6015,90
1786370880,1.6015,1.6019,1.5965,1.5991,74
1786370940,1.5991,1.6028,1.599,1.6014,83
1786371000,1.6014,1.6056,1.6014,1.6055,82
1786371060,1.6055,1.6105,1.6055,1.6095,76
1786371120,1.6088,1.612,1.6065,1.6065,75
1786371180,1.6065,1.6087,1.6048,1.6068,82
