time,open,high,low,close,ticks
1786276800,46.792,46.948,46.651,46.761,1192
1786277700,46.761,46.813,46.673,46.693,1223
1786278600,46.693,46.703,46.347,46.356,1201
1786279500,46.361,46.398,46.103,46.156,1207
1786280400,46.156,46.544,46.083,46.526,1214
1786281300,46.526,46.551,46.325,46.471,1192
1786282200,46.475,46.722,46.418,46.673,1213
1786283100,46.673,46.737,46.604,46.663,1173
1786284000,46.663,46.709,46.61,46.646,1211
1786284900,46.643,46.792,46.635,46.771,1184
1786285800,46.771,46.917,46.729,46.733,1205
1786286700,46.731,46.84,46.632,46.646,1196
1786287600,46.644,46.785,46.576,46.767,1194
1786288500,46.765,46.833,46.711,46.783,1147
1786289400,46.785,46.839,46.613,46.678,1178
1786290300,46.675,46.804,46.663,46.746,1216
1786291200,46.746,46.865,46.723,46.785,1198
1786292100,46.785,46.953,46.702,46.89,1184
1786293000,46.89,46.92,46.696,46.832,1206
1786293900,46.832,46.914,46.753,46.802,1185
1786294800,46.807,46.958,46.795,46.856,1192
1786295700,46.856,46.879,46.651,46.763,1180
1786296600,46.765,46.865,46.736,46.836,1192
1786297500,46.836,46.85,46.634,46.656,1179
1786298400,46.656,46.849,46.587,46.84,1193
1786299300,46.84,46.94,46.82,46.82,1205
1786300200,46.82,46.86,46.631,46.654,1194
1786301100,46.654,46.69,46.364,46.392,1199
1786302000,46.392,46.427,46.237,46.245,1236
1786302900,46.245,46.277,46.067,46.238,1220
1786303800,46.238,46.478,46.196,46.448,1203
1786304700,46.448,46.543,46.4,46.485,1207
1786305600,46.485,46.553,46.405,46.45,1202
1786306500,46.45,46.584,46.419,46.574,1202
1786307400,46.572,46.711,46.531,46.661,1192
1786308300,46.661,46.687,46.424,46.442,1206
1786309200,46.442,46.444,46.246,46.32,1215
1786310100,46.32,46.38,46.208,46.369,1204
1786311000,46.369,46.392,46.259,46.276,1192
1786311900,46.281,46.392,46.13,46.13,1214
1786312800,46.13,46.2,46.025,46.028,1181
1786313700,46.022,46.143,45.993,46.015,1194
1786314600,46.015,46.044,45.858,45.888,1213
1786315500,45.888,45.913,45.597,45.706,1197
1786316400,45.708,45.783,45.669,45.705,1202
1786317300,45.705,45.768,45.623,45.661,1163
1786318200,45.668,45.774,45.614,45.669,1206
1786319100,45.672,45.774,45.513,45.551,1203
1786320000,45.551,45.629,45.507,45.578,1174
