time,open,high,low,close,ticks
1786276800,1578.89,1579.35,1577.18,1577.3,1205
1786277700,1577.3,1578.32,1576.28,1577.75,1202
1786278600,1577.71,1578.69,1576.92,1577.21,1213
1786279500,1577.19,1579.37,1576.68,1578.99,1208
1786280400,1578.99,1578.99,1576.7,1577.08,1193
1786281300,1577.12,1580.58,1577.03,1580.33,1206
1786282200,1580.33,1582.24,1580.0,1581.54,1204
1786283100,1581.54,1583.12,1580.83,1582.94,1195
1786284000,1582.94,1583.78,1582.0,1582.06,1197
1786284900,1582.04,1583.19,1580.88,1582.16,1199
1786285800,1582.16,1584.19,1581.53,1583.46,1183
1786286700,1583.46,1585.09,1583.42,1585.09,1182
1786287600,1585.04,1585.54,1583.29,1583.31,1185
1786288500,1583.31,1583.61,1581.38,1581.53,1150
1786289400,1581.53,1581.93,1579.32,1579.63,1187
1786290300,1579.63,1579.79,1577.89,1578.67,1205
1786291200,1578.67,1581.14,1578.53,1580.47,1195
1786292100,1580.42,1581.05,1578.64,1579.07,1186
1786293000,1579.07,1580.22,1577.92,1580.06,1243
1786293900,1580.17,1582.86,1580.17,1582.1,1235
1786294800,1582.05,1582.24,1580.1,1580.67,1182
1786295700,1580.61,1582.28,1578.85,1579.7,1164
1786296600,1579.7,1580.89,1577.36,1578.1,1177
1786297500,1578.1,1578.32,1576.21,1576.92,1203
1786298400,1576.93,1577.47,1574.09,1574.09,1197
1786299300,1574.09,1575.53,1573.75,1575.27,1187
1786300200,1575.26,1575.49,1573.66,1574.6,1191
1786301100,1574.55,1575.23,1571.89,1575.23,1187
1786302000,1575.23,1577.28,1575.13,1576.26,1211
1786302900,1576.26,1576.53,1575.47,1575.82,1180
1786303800,1575.82,1578.54,1575.29,1576.94,1187
1786304700,1576.94,1576.98,1574.61,1575.49,1200
1786305600,1575.49,1576.57,1574.81,1575.81,1161
1786306500,1575.81,1577.52,1574.69,1574.72,1205
1786307400,1574.75,1574.77,1572.99,1573.06,1210
1786308300,1573.06,1573.27,1571.44,1572.5,1210
1786309200,1572.5,1574.0,1572.34,1574.0,1201
