time,open,high,low,close,ticks
1786368000,130.602,130.614,130.546,130.546,79
1786368060,130.545,130.558,130.52,130.52,77
1786368120,130.52,130.529,130.495,130.503,87
1786368180,130.503,130.547,130.503,130.51,78
1786368240,130.51,130.525,130.497,130.517,82
1786368300,130.517,130.525,130.5,130.506,81
1786368360,130.507,130.516,130.48,130.48,81
1786368420,130.48,130.514,130.463,130.503,77
1786368480,130.504,130.506,130.464,130.469,79
1786368540,130.471,130.537,130.464,130.531,75
1786368600,130.537,130.57,130.527,130.545,82
1786368660,130.545,130.564,130.52,130.562,86
1786368720,130.562,130.579,130.536,130.561,91
1786368780,130.561,130.563,130.541,130.548,81
1786368840,130.548,130.626,130.541,130.618,71
1786368900,130.618,130.662,130.612,130.623,77
1786368960,130.62,130.637,130.603,130.637,88
1786369020,130.65,130.663,130.632,130.632,79
1786369080,130.63,130.63,130.574,130.574,86
1786369140,130.574,130.594,130.513,130.515,76
1786369200,130.501,130.506,130.404,130.416,84
1786369260,130.416,130.433,130.41,130.418,79
1786369320,130.414,130.434,130.401,130.424,88
1786369380,130.426,130.435,130.406,130.427,79
1786369440,130.427,130.44,130.41,130.437,76
1786369500,130.437,130.45,130.404,130.449,83
1786369560,130.449,130.471,130.427,130.471,79
1786369620,130.471,130.474,130.443,130.448,83
1786369680,130.448,130.477,130.448,130.46,79
1786369740,130.46,130.471,130.447,130.465,72
1786369800,130.465,130.477,130.438,130.461,76
1786369860,130.461,130.502,130.455,130.483,80
1786369920,130.483,130.512,130.478,130.497,86
1786369980,130.495,130.512,130.474,130.491,88
1786370040,130.493,130.493,130.44,130.449,89
1786370100,130.449,130.453,130.395,130.408,77
1786370160,130.405,130.437,130.399,130.431,85
1786370220,130.431,130.471,130.426,130.446,79
1786370280,130.446,130.505,130.444,130.503,77
1786370340,130.497,130.54,130.495,130.536,82
1786370400,130.534,130.575,130.533,130.575,75
1786370460,130.575,130.603,130.571,130.592,83
1786370520,130.583,130.588,130.543,130.543,73
1786370580,130.545,130.595,130.54,130.59,78
1786370640,130.596,130.647,130.596,130.64,70
1786370700,130.642,130.644,130.581,130.592,86
1786370760,130.592,130.595,130.553,130.553,84
1786370820,130.553,130.584,130.551,130.569,84
1786370880,130.569,130.608,130.557,130.584,83
1786370940,130.584,130.585,130.546,130.548,75
1786371000,130.545,130.549,130.516,130.516,89
1786371060,130.518,130.551,130.514,130.526,76
1786371120,130.528,130.538,130.518,130.538,75
1786371180,130.536,130.579,130.534,130.573,77
1786371240,130.573,130.58,130.521,130.525,73
1786371300,130.525,130.566,130.508,130.564,84
1786371360,130.565,130.587,130.549,130.556,79
1786371420,130.559,130.574,130.551,130.553,67
1786371480,130.555,130.579,130.535,130.579,86
1786371540,130.579,130.581,130.559,130.581,64
1786371600,130.581,130.623,130.581,130.622,83
1786371660,130.622,130.661,130.615,130.655,85
1786371720,130.655,130.665,130.631,130.631,72
1786371780,130.631,130.64,130.609,130.628,78
1786371840,130.628,130.647,130.609,130.613,82
1786371900,130.613,130.656,130.605,130.636,73
1786371960,130.636,130.667,130.618,130.656,79
1786372020,130.66,130.668,130.619,130.623,85
1786372080,130.623,130.671,130.621,130.645,77
1786372140,130.645,130.685,130.624,130.68,68
1786372200,130.68,130.687,130.645,130.68,79
1786372260,130.68,130.722,130.678,130.696,77
1786372320,130.696,130.741,130.693,130.724,81
1786372380,130.724,130.781,130.722,130.776,83
1786372440,130.776,130.785,130.73,130.764,77
1786372500,130.767,130.839,130.766,130.826,82
1786372560,130.827,130.837,130.808,130.819,81
1786372620,130.819,130.819,130.752,130.752,82
1786372680,130.751,130.763,130.745,130.761,83
1786372740,130.761,130.784,130.739,130.783,83
1786372800,130.783,130.789,130.733,130.746,82
1786372860,130.749,130.783,130.745,130.781,73
1786372920,130.781,130.826,130.76,130.826,74
1786372980,130.826,130.849,130.822,130.839,79
1786373040,130.839,130.884,130.832,130.88,82
1786373100,130.88,130.914,130.877,130.908,84
1786373160,130.908,130.922,130.903,130.919,66
1786373220,130.918,130.919,130.863,130.873,79
1786373280,130.886,130.894,130.855,130.884,81
1786373340,130.884,130.895,130.858,130.891,82
1786373400,130.893,130.972,130.893,130.952,79
1786373460,130.953,130.972,130.949,130.968,77
1786373520,130.968,130.991,130.95,130.99,81
1786373580,130.991,131.04,130.989,131.025,87
1786373640,131.025,131.081,131.012,131.081,80
1786373700,131.083,131.116,131.072,131.112,79
1786373760,131.112,131.146,131.102,131.134,85
1786373820,131.136,131.151,131.12,131.135,84
1786373880,131.135,131.135,131.075,131.096,75
1786373940,131.096,131.146,131.096,131.132,76
1786374000,131.132,131.181,131.131,131.181,86
1786374060,131.181,131.191,131.14,131.14,84
1786374120,131.14,131.14,131.085,131.085,86
1786374180,131.085,131.116,131.08,131.107,85
1786374240,131.107,131.118,131.096,131.108,79
1786374300,131.106,131.146,131.1,131.132,74
1786374360,131.128,131.136,131.089,131.096,71
1786374420,131.096,131.109,131.054,131.063,77
1786374480,131.061,131.101,131.043,131.092,64
1786374540,131.091,131.109,131.057,131.059,88
1786374600,131.061,131.096,131.053,131.073,72
1786374660,131.075,131.13,131.063,131.109,85
1786374720,131.109,131.128,131.104,131.126,78
1786374780,131.127,131.129,131.092,131.095,83
1786374840,131.095,131.152,131.081,131.139,84
1786374900,131.139,131.182,131.139,131.145,80
1786374960,131.145,131.181,131.143,131.17,67
