time,open,high,low,close,ticks
1786276800,289.116,289.158,289.063,289.099,1220
1786277700,289.099,289.117,289.027,289.034,1230
1786278600,289.034,289.131,288.998,289.131,1193
1786279500,289.131,289.249,289.124,289.242,1190
1786280400,289.242,289.27,289.161,289.198,1254
1786281300,289.198,289.263,289.124,289.14,1204
1786282200,289.14,289.205,289.121,289.169,1207
1786283100,289.169,289.182,289.11,289.12,1201
1786284000,289.12,289.138,288.986,289.016,1193
1786284900,289.016,289.033,288.942,289.029,1205
1786285800,289.03,289.04,288.834,288.843,1189
1786286700,288.843,288.913,288.804,288.858,1203
1786287600,288.858,288.888,288.812,288.852,1225
1786288500,288.854,288.913,288.821,288.842,1223
1786289400,288.842,288.909,288.79,288.869,1225
1786290300,288.869,288.881,288.762,288.828,1203
1786291200,288.828,288.893,288.78,288.84,1203
1786292100,288.84,288.907,288.817,288.89,1169
1786293000,288.89,288.894,288.816,288.867,1210
1786293900,288.867,288.878,288.784,288.854,1150
1786294800,288.857,289.001,288.846,288.998,1202
1786295700,288.998,289.014,288.936,288.976,1193
1786296600,288.976,289.054,288.968,288.988,1227
1786297500,288.989,289.003,288.93,288.959,1212
1786298400,288.958,289.013,288.936,288.943,1205
1786299300,288.943,289.049,288.909,289.028,1165
1786300200,289.029,289.143,289.024,289.143,1175
1786301100,289.144,289.169,289.052,289.052,1225
1786302000,289.052,289.056,288.835,288.84,1214
1786302900,288.84,288.889,288.803,288.826,1196
1786303800,288.826,288.958,288.818,288.912,1171
1786304700,288.912,289.037,288.909,288.992,1196
1786305600,288.992,289.026,288.95,288.982,1168
1786306500,288.982,289.03,288.894,288.974,1202
1786307400,288.974,288.974,288.844,288.875,1207
1786308300,288.875,288.891,288.782,288.809,1236
1786309200,288.809,288.849,288.733,288.737,1190
1786310100,288.737,288.75,288.624,288.647,1204
1786311000,288.647,288.728,288.63,288.665,1239
1786311900,288.665,288.672,288.501,288.515,1217
1786312800,288.514,288.556,288.438,288.442,1228
1786313700,288.441,288.506,288.415,288.473,1186
1786314600,288.473,288.5,288.35,288.359,1231
1786315500,288.359,288.471,288.299,288.468,1196
1786316400,288.465,288.543,288.446,288.496,1195
1786317300,288.496,288.507,288.413,288.431,1179
1786318200,288.432,288.538,288.417,288.527,1196
1786319100,288.531,288.537,288.453,288.485,1214
1786320000,288.485,288.658,288.48,288.613,1217
1786320900,288.613,288.652,288.568,288.631,1191
1786321800,288.631,288.715,288.63,288.669,1191
1786322700,288.669,288.742,288.645,288.684,1186
1786323600,288.685,288.766,288.668,288.67,1190
1786324500,288.671,288.683,288.56,288.577,1230
1786325400,288.577,288.722,288.556,288.703,1235
1786326300,288.703,288.708,288.604,288.644,1215
1786327200,288.645,288.695,288.612,288.689,1199
1786328100,288.688,288.792,288.65,288.721,1201
1786329000,288.722,288.729,288.622,288.633,1222
1786329900,288.629,288.635,288.434,288.522,1242
1786330800,288.522,288.625,288.52,288.57,1170
1786331700,288.57,288.701,288.556,288.7,1229
1786332600,288.7,288.702,288.582,288.632,1245
1786333500,288.63,288.657,288.527,288.607,1174
1786334400,288.602,288.667,288.566,288.65,1194
1786335300,288.649,288.775,288.603,288.765,1222
1786336200,288.766,288.867,288.736,288.802,1173
1786337100,288.802,288.899,288.791,288.84,1209
1786338000,288.84,288.868,288.726,288.818,1189
1786338900,288.819,288.984,288.802,288.979,1218
1786339800,288.976,289.058,288.954,289.012,1197
1786340700,289.012,289.038,288.887,288.898,1145
1786341600,288.897,288.91,288.813,288.819,1189
1786342500,288.819,289.011,288.816,289.011,1198
1786343400,289.009,289.077,288.999,289.038,1219
1786344300,289.038,289.286,289.024,289.285,1146
1786345200,289.284,289.315,289.212,289.219,1190
1786346100,289.22,289.22,289.115,289.128,1163
1786347000,289.126,289.173,289.089,289.091,1193
1786347900,289.091,289.189,289.082,289.163,1192
1786348800,289.162,289.169,289.067,289.091,1195
1786349700,289.091,289.139,289.021,289.132,1235
1786350600,289.135,289.154,289.034,289.06,1197
1786351500,289.062,289.124,289.014,289.108,1197
1786352400,289.108,289.137,288.924,288.932,1208
1786353300,288.932,289.002,288.883,289.001,1228
1786354200,289.001,289.021,288.946,289.011,1207
1786355100,289.011,289.057,288.907,288.915,1251
1786356000,288.913,288.92,288.738,288.748,1224
1786356900,288.747,288.847,288.736,288.751,1197
1786357800,288.751,288.882,288.746,288.875,1205
1786358700,288.875,288.891,288.805,288.819,1202
1786359600,288.819,288.852,288.757,288.814,1245
1786360500,288.814,288.833,288.756,288.796,1207
1786361400,288.796,288.939,288.774,288.938,1180
1786362300,288.936,288.955,288.793,288.803,1198
1786363200,288.805,288.814,288.614,288.615,1195
1786364100,288.615,288.63,288.513,288.54,1214
1786365000,288.542,288.578,288.447,288.481,1194
1786365900,288.481,288.55,288.457,288.487,1178
1786366800,288.486,288.488,288.382,288.412,1201
1786367700,288.412,288.508,288.412,288.506,1201
1786368600,288.505,288.572,288.422,288.424,1166
1786369500,288.426,288.457,288.382,288.409,1196
1786370400,288.408,288.45,288.364,288.369,1247
1786371300,288.369,288.379,288.274,288.304,1164
1786372200,288.304,288.342,288.119,288.15,1191
1786373100,288.15,288.172,288.04,288.046,1221
1786374000,288.046,288.082,287.932,287.979,1223
1786374900,287.979,288.006,287.936,287.995,1183
1786375800,287.995,288.104,287.995,288.067,1196
1786376700,288.069,288.097,288.017,288.063,1222
1786377600,288.064,288.17,288.016,288.136,1197
1786378500,288.138,288.15,288.017,288.062,1221
1786379400,288.062,288.28,288.053,288.275,1193
1786380300,288.277,288.314,288.219,288.237,1171
1786381200,288.237,288.38,288.2,288.296,1181
1786382100,288.297,288.38,288.257,288.356,1189
1786383000,288.356,288.388,288.289,288.369,1169
1786383900,288.369,288.498,288.316,288.473,1209
1786384800,288.475,288.488,288.387,288.387,1185
1786385700,288.379,288.558,288.375,288.55,1192
1786386600,288.549,288.55,288.434,288.47,1210
1786387500,288.47,288.53,288.423,288.493,1210
1786388400,288.496,288.577,288.443,288.572,1216
1786389300,288.572,288.63,288.559,288.57,1205
1786390200,288.57,288.813,288.559,288.801,1210
1786391100,288.801,288.886,288.789,288.877,1196
1786392000,288.879,288.944,288.849,288.85,1223
1786392900,288.849,288.892,288.796,288.816,1230
1786393800,288.817,288.894,288.801,288.842,1229
1786394700,288.842,289.054,288.837,289.049,1191
1786395600,289.049,289.103,288.982,289.012,1176
1786396500,289.012,289.018,288.81,288.83,1184
1786397400,288.832,288.909,288.792,288.875,1199
1786398300,288.872,288.939,288.855,288.912,1215
1786399200,288.912,289.029,288.875,289.02,1232
1786400100,289.02,289.072,288.989,289.003,1165
1786401000,289.003,289.052,288.94,288.988,1197
1786401900,288.991,289.008,288.894,288.938,1195
1786402800,288.939,288.983,288.927,288.938,1189
1786403700,288.935,289.042,288.922,289.039,1197
1786404600,289.039,289.051,288.849,288.86,1205
