time,open,high,low,close,ticks
1786368060,1.079,1.083,1.079,1.083,76
1786368120,1.0829,1.0835,1.0801,1.0801,74
1786368180,1.0799,1.0799,1.0766,1.0784,81
1786368240,1.0784,1.0792,1.0709,1.0709,83
1786368300,1.0711,1.0723,1.0699,1.0705,73
1786368360,1.0704,1.0748,1.0704,1.0737,79
1786368420,1.0736,1.0757,1.0727,1.0751,83
1786368480,1.0751,1.0773,1.0714,1.0725,81
1786368540,1.0725,1.0732,1.0694,1.0694,79
1786368600,1.0693,1.0734,1.0689,1.0721,76
1786368660,1.0721,1.0743,1.0721,1.0728,78
1786368720,1.0728,1.0771,1.0714,1.0768,72
1786368780,1.0768,1.0772,1.0726,1.0741,80
1786368840,1.0741,1.0753,1.0712,1.0753,84
1786368900,1.0753,1.077,1.0743,1.0757,86
1786368960,1.0767,1.0801,1.0757,1.0774,84
1786369020,1.0774,1.0791,1.0756,1.0756,74
1786369080,1.0757,1.0762,1.0718,1.0722,82
1786369140,1.0722,1.0737,1.0708,1.0735,79
1786369200,1.0736,1.0738,1.071,1.0711,74
1786369260,1.0709,1.0748,1.0709,1.0721,74
1786369320,1.0717,1.0718,1.0674,1.0678,81
1786369380,1.0678,1.0705,1.0678,1.0683,89
1786369440,1.0683,1.0704,1.0676,1.0683,80
1786369500,1.0683,1.0703,1.0673,1.0698,86
1786369560,1.0698,1.071,1.0676,1.068,74
1786369620,1.0681,1.069,1.0658,1.0666,83
1786369680,1.0664,1.0683,1.0642,1.0642,79
1786369740,1.0642,1.0642,1.0614,1.0619,73
1786369800,1.0619,1.0659,1.061,1.0657,90
1786369860,1.0657,1.0657,1.0611,1.0616,79
1786369920,1.0616,1.063,1.0607,1.0625,82
1786369980,1.0624,1.0641,1.0584,1.0584,70
1786370040,1.0586,1.0593,1.0559,1.0588,85
1786370100,1.0596,1.0632,1.0596,1.0625,79
1786370160,1.0625,1.0674,1.0623,1.0674,75
1786370220,1.0674,1.068,1.0657,1.0676,73
1786370280,1.0676,1.0714,1.0671,1.0692,75
1786370340,1.069,1.0693,1.0667,1.0668,79
1786370400,1.0668,1.0697,1.0664,1.0682,76
1786370460,1.0682,1.0685,1.0644,1.0645,79
1786370520,1.065,1.0675,1.0645,1.065,82
1786370580,1.0653,1.0658,1.0614,1.0635,87
1786370640,1.0638,1.0642,1.0606,1.0615,86
1786370700,1.0612,1.0652,1.0592,1.0652,81
1786370760,1.0652,1.0675,1.0648,1.0659,80
1786370820,1.0659,1.0692,1.0658,1.0687,81
1786370880,1.0687,1.0707,1.068,1.0684,81
1786370940,1.0684,1.0712,1.0683,1.0706,81
1786371000,1.0706,1.0713,1.0684,1.0694,88
1786371060,1.0697,1.0709,1.0682,1.0709,83
1786371120,1.0707,1.0718,1.0651,1.0652,74
1786371180,1.0652,1.067,1.0643,1.066,80
1786371240,1.066,1.07,1.066,1.0699,77
1786371300,1.0699,1.0733,1.0699,1.0726,82
1786371360,1.0725,1.0725,1.0701,1.0712,78
1786371420,1.0711,1.0713,1.0681,1.0685,85
1786371480,1.0679,1.0703,1.0672,1.0697,80
1786371540,1.0694,1.0711,1.0671,1.0682,78
1786371600,1.0682,1.0682,1.0636,1.0637,76
1786371660,1.0638,1.0653,1.0625,1.0647,76
1786371720,1.0647,1.0661,1.0617,1.0626,92
1786371780,1.0626,1.0631,1.0617,1.0617,69
1786371840,1.0617,1.0636,1.061,1.061,78
1786371900,1.061,1.0611,1.0567,1.0595,87
1786371960,1.0594,1.0599,1.0566,1.0574,85
1786372020,1.0573,1.0586,1.0562,1.0584,76
1786372080,1.0582,1.0592,1.0555,1.0555,79
1786372140,1.0555,1.0588,1.0554,1.0567,79
1786372200,1.0567,1.059,1.0562,1.0574,79
1786372260,1.0574,1.0593,1.056,1.0576,80
1786372320,1.0576,1.0625,1.0576,1.0606,84
1786372380,1.0606,1.062,1.059,1.0604,84
1786372440,1.0597,1.0597,1.0535,1.0556,79
1786372500,1.0552,1.0605,1.0552,1.0599,84
1786372560,1.0601,1.0611,1.0578,1.0597,82
1786372620,1.0597,1.0617,1.0579,1.0579,80
1786372680,1.0579,1.0609,1.0549,1.0607,82
1786372740,1.0607,1.064,1.0607,1.0635,77
1786372800,1.0635,1.0657,1.0632,1.064,70
1786372860,1.064,1.068,1.0628,1.0678,85
1786372920,1.0678,1.0688,1.0642,1.0647,82
1786372980,1.0647,1.0671,1.0643,1.0665,84
1786373040,1.0665,1.067,1.0616,1.0623,83
1786373100,1.0623,1.0623,1.0605,1.0619,75
1786373160,1.0619,1.0665,1.0612,1.0659,75
1786373220,1.0659,1.0699,1.0659,1.0692,88
1786373280,1.0691,1.0716,1.068,1.0703,83
1786373340,1.0712,1.0738,1.0705,1.0736,83
1786373400,1.0735,1.0745,1.072,1.0738,74
1786373460,1.0736,1.0766,1.0734,1.0738,74
1786373520,1.0738,1.0752,1.0717,1.0717,78
1786373580,1.0716,1.0719,1.0694,1.0702,86
1786373640,1.0706,1.0728,1.0698,1.0725,89
1786373700,1.0725,1.073,1.0706,1.0713,82
1786373760,1.0713,1.0732,1.0705,1.0726,83
1786373820,1.0727,1.0733,1.0708,1.0727,76
1786373880,1.0727,1.0761,1.0719,1.0756,75
1786373940,1.0756,1.0789,1.0748,1.0782,82
1786374000,1.0782,1.0782,1.0758,1.0768,78
